Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Multi-hop Queries,"Find vulnerabilities that share the same weakness type (CWE) as CVE-2017-0144, based on observed incidents.",MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN v.ucosummary,Find vulnerabilities linked to weaknesses that were observed in an example related to 'CVE-2017-0144'.,"[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN"", ""UCOHASOBSERVEDEXAMPLE"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""label"", ""ucosummary""]",4,"[""CVE-2017-0144""]"
Multi-hop Queries,Which campaigns leverage tools that rely on the 'PowerShell' TTP?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN c.ucoexNAME,Which campaigns use software that relies on the 'PowerShell' technique?,"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE"", ""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""PowerShell""]"
Multi-hop Queries,Which threat actors have TTP overlap with the SolarWinds campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN g.ucoexNAME,Which groups use the same attack techniques as the 'SolarWinds Orion Attack' campaign?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE"", ""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""SolarWinds Orion Attack""]"
Conditional and Boolean Queries,Get all 'open-source' or 'commercial' software entries.,"MATCH (s:UcoexSOFTWARE) WHERE s.ucoexDOMAIN = 'open-source' OR s.ucoexDOMAIN = 'commercial' RETURN s.ucoexNAME, s.ucoexDOMAIN",List all software that is either 'open-source' or 'commercial'.,"[""UcoexSOFTWARE""]",[],"[""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""commercial"", ""open-source""]"
Conditional and Boolean Queries,Pull all 'CRITICAL' severity CVEs published since the start of 2020.,MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'CRITICAL' AND c.ucopublishedDateTime > datetime('2020-01-01T00:00:00Z') RETURN c.label,List all 'CRITICAL' CVEs published after the start of 2020.,"[""UcoCVE""]",[],"[""label"", ""ucobaseSeverity"", ""ucopublishedDateTime""]",0,"[""2020-01-01T00:00:00Z"", ""CRITICAL""]"
Path Queries (Variable-length),Is there any relationship at all between the SolarWinds campaign and Mimikatz?,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1,Is there any connection between the 'SolarWinds Orion Attack' and 'Mimikatz'?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",1,"[""0"", ""Mimikatz"", ""SolarWinds Orion Attack"", ""false"", ""true""]"
Path Queries (Variable-length),What's the shortest path connecting APT28 to the PowerShell TTP?,MATCH p = shortestPath((:UcoexGROUPS {ucoexNAME: 'APT28'})-[*]-(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})) RETURN p,What's the shortest path between the 'APT28' group and the 'PowerShell' technique?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]",[],"[""ucoexNAME""]",1,"[""APT28"", ""PowerShell""]"
Path Queries (Variable-length),Trace the attack path from any campaign that leads to the exploitation of CVE-2017-0144.,MATCH p = (:UcoexCAMPAIGNS)-[*]->(:UcoCVE {label: 'CVE-2017-0144'}) RETURN p,Show me any attack path from a campaign that leads to 'CVE-2017-0144'.,"[""UcoCVE"", ""UcoexCAMPAIGNS""]",[],"[""label""]",1,"[""CVE-2017-0144""]"
Path Queries (Variable-length),"Show me mitigations that are two hops away from FIN7 (e.g., for TTPs they use).",MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*2]->(m:UcoexMITIGATIONS) RETURN DISTINCT m.ucoexNAME,What mitigations are 2 hops away from the 'FIN7' group?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",1,"[""FIN7""]"
Path Queries (Variable-length),"Map out all outbound connections from the WannaCry campaign, up to 4 hops deep.",MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[*1..4]->(n) RETURN p,Show all paths 1 to 4 hops long starting from the 'WannaCry Ransomware Attack'.,"[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",1,"[""WannaCry Ransomware Attack""]"
Graph Pattern Matching,Which threat actors are known to use both PowerShell and Phishing TTPs?,MATCH (t1:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN g.ucoexNAME,Which groups use both 'PowerShell' and 'Phishing' techniques?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""Phishing"", ""PowerShell""]"
Graph Pattern Matching,Which campaigns use TTPs linked to 'High' abstraction-level weaknesses (CWEs)?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE {ucoabstraction: 'High'}) RETURN c.ucoexNAME,Which campaigns use techniques linked to 'High' abstraction weaknesses (CWEs)?,"[""UcoCWE"", ""UcoexCAMPAIGNS"", ""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE"", ""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING""]","[""ucoabstraction"", ""ucoexNAME""]",3,"[""High""]"
Graph Pattern Matching,Which threat actors use TTPs that are linked (via CAPEC/CWE) to 'CRITICAL' severity CVEs?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME,Which groups use techniques that trace back to 'CRITICAL' severity CVEs?,"[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexCAPEC"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING"", ""UCOHASCVE_ID"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""ucobaseSeverity"", ""ucoexNAME""]",6,"[""CRITICAL""]"
Comparative and Ranking,Which threat actor is linked to the highest number of 'CRITICAL' CVEs?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME, count(c) as criticalCVEs ORDER BY criticalCVEs DESC LIMIT 1",Which group is linked to the most 'CRITICAL' CVEs through their techniques?,"[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexCAPEC"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING"", ""UCOHASCVE_ID"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""ucobaseSeverity"", ""ucoexNAME""]",6,"[""CRITICAL""]"
Node Lookup Queries,List 'Received' CVEs that *do* allow full privilege escalation.,"MATCH (c:UcoCVE {ucovulnStatus: 'Received', ucoobtainAllPrivilege: 'true'}) RETURN c",Which 'Received' CVEs allow an attacker to 'obtain all privilege'?,"[""UcoCVE""]",[],"[""ucovulnStatus""]",0,"[""Received"", ""true""]"
Node Lookup Queries,"Pull all vulnerability records published on Jan 15, 2020.",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime STARTS WITH '2020-01-15' RETURN v,Find all vulnerabilities published on '2020-01-15'.,"[""UcoVulnerability""]",[],"[""ucopublishedDateTime""]",0,"[""2020-01-15""]"
Node Lookup Queries,"What vulnerabilities have been modified since June 1, 2021?",MATCH (v:UcoVulnerability) WHERE v.ucolastModifiedDateTime > '2021-06-01T00:00:00' RETURN v,"Which vulnerabilities have been modified since June 1, 2021?","[""UcoVulnerability""]",[],"[""ucolastModifiedDateTime""]",0,"[""2021-06-01T00:00:00""]"
Node Lookup Queries,List all 'CRITICAL' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'CRITICAL'}) RETURN v,List all 'CRITICAL' severity vulnerabilities.,"[""UcoVulnerability""]",[],"[""ucobaseSeverity""]",0,"[""CRITICAL""]"
Node Lookup Queries,List all 'HIGH' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'HIGH'}) RETURN v,List all 'HIGH' severity vulnerabilities.,"[""UcoVulnerability""]",[],"[""ucobaseSeverity""]",0,"[""HIGH""]"
Node Lookup Queries,Show all vulnerabilities with a status of 'Analyzed'.,MATCH (v:UcoVulnerability {ucovulnStatus: 'Analyzed'}) RETURN v,Which vulnerabilities have a status of 'Analyzed'?,"[""UcoVulnerability""]",[],"[""ucovulnStatus""]",0,"[""Analyzed""]"
Node Lookup Queries,Show vulnerabilities that *don't* grant full privileges.,MATCH (v:UcoVulnerability {ucoobtainAllPrivilege: 'false'}) RETURN v,Show me vulnerabilities that do not allow an attacker to 'obtain all privilege'.,"[""UcoVulnerability""]",[],"[""ucoobtainAllPrivilege""]",0,"[""false""]"
Node Lookup Queries,"List 'Base' level, 'Composite' structure CWEs with a 'Stable' status.","MATCH (c:UcoCWE {ucoabstraction: 'Base', ucostructure: 'Composite', ucostatus: 'Stable'}) RETURN c",List 'Base' level weaknesses with 'Composite' structure that are 'Stable'.,"[""UcoCWE""]",[],"[""ucoabstraction""]",0,"[""Base"", ""Composite"", ""Stable""]"
Node Lookup Queries,Pull the record for 'Insecure Default Initialization of Resource'.,MATCH (c:UcoCWE {ucocweName: 'Insecure Default Initialization of Resource'}) RETURN c,Show me all data for 'Insecure Default Initialization of Resource'.,"[""UcoCWE""]",[],"[""ucocweName""]",0,"[""Insecure Default Initialization of Resource""]"
Node Lookup Queries,Are there any weaknesses related to 'cross-site scripting' in the descriptions?,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'cross-site scripting' RETURN c,Find all weaknesses that mention 'cross-site scripting' in their description.,"[""UcoCWE""]",[],"[""ucodescription""]",0,"[""cross-site scripting""]"
Node Lookup Queries,List all CWEs that talk about 'memory leak'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'memory leak' RETURN c,Find all weaknesses that mention 'memory leak' in their description.,"[""UcoCWE""]",[],"[""ucodescription""]",0,"[""memory leak""]"
Node Lookup Queries,Show weaknesses involving 'deserialization'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'deserialization' RETURN c,Show weaknesses that mention 'deserialization' in their description.,"[""UcoCWE""]",[],"[""ucodescription""]",0,"[""deserialization""]"
Node Lookup Queries,Get details for the 'Lateral Movement' TTP.,MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Lateral Movement'}) RETURN t,Show me all data for the 'Lateral Movement' technique.,"[""UcoexMITREATTACK""]",[],"[""ucoexNAME""]",0,"[""Lateral Movement""]"
Node Lookup Queries,List all ATT&CK TTPs for the 'Mobile'.,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Mobile'}) RETURN t.ucoexNAME,List the names of all 'Mobile' attack techniques.,"[""UcoexMITREATTACK""]",[],"[""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""Mobile""]"
Node Lookup Queries,Get details for the 'WannaCry' campaign.,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'}) RETURN c,Show me all data for the 'WannaCry' campaign.,"[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",0,"[""WannaCry""]"
Relationship Traversal Queries,List all CVEs with 'CRITICAL' severity and their associated CPEs.,"MATCH (v:UcoCVE {ucobaseSeverity: 'CRITICAL'})-[:UCOEXHASCPE]->(c:UcoexCPE) RETURN v.label, c.cpeName",List 'CRITICAL' CVEs and the products (CPEs) they affect.,"[""UcoCVE"", ""UcoexCPE""]","[""UCOEXHASCPE""]","[""cpeName"", ""label"", ""ucobaseSeverity""]",1,"[""CRITICAL""]"
Relationship Traversal Queries,Find all CVEs requiring user interaction and their CPEs.,"MATCH (v:UcoCVE {ucouserInteractionRequired: 'True'})-[:UCOEXHASCPE]->(c:UcoexCPE) RETURN v.label, c.cpeName",Find all CVEs that require user interaction and the products (CPEs) they affect.,"[""UcoCVE"", ""UcoexCPE""]","[""UCOEXHASCPE""]","[""cpeName"", ""label"", ""ucouserInteractionRequired""]",1,"[""True""]"
Relationship Traversal Queries,What is the CVE ID for the vulnerability described as 'Apache Log4j RCE'?,MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) WHERE vuln.ucosummary CONTAINS 'Apache Log4j RCE' RETURN cve.label,What is the CVE ID for the vulnerability with 'Apache Log4j RCE' in its summary?,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""label"", ""ucosummary""]",1,"[""Apache Log4j RCE""]"
Relationship Traversal Queries,List vulnerabilities published in 2024 and their CVEs.,"MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) WHERE vuln.ucopublishedDateTime STARTS WITH '2024' RETURN vuln.ucosummary, cve.label",List vulnerabilities published in 2024 and their CVE IDs.,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""label"", ""ucopublishedDateTime"", ""ucosummary""]",1,"[""2024""]"
Relationship Traversal Queries,Find all vulnerabilities and their associated 'CRITICAL' CVEs.,"MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN cve.label, vuln.ucosummary",Find all 'CRITICAL' CVEs and their vulnerability summaries.,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""label"", ""ucobaseSeverity"", ""ucosummary""]",1,"[""CRITICAL""]"
Relationship Traversal Queries,What vulnerabilities are associated with the exploit target 'Apache Log4j 2'?,MATCH (et:UcoExploitTarget {uri: 'example/target/log4j2'})-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) RETURN vuln.ucosummary,What vulnerabilities are linked to the exploit target 'example/target/log4j2'?,"[""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASVULNERABILITY""]","[""ucosummary"", ""uri""]",1,"[""example/target/log4j2""]"
Relationship Traversal Queries,Find exploit targets for the 'Log4Shell' vulnerability.,MATCH (et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) WHERE vuln.ucosummary CONTAINS 'Log4Shell' RETURN et.uri,What exploit targets are associated with the 'Log4Shell' vulnerability?,"[""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASVULNERABILITY""]","[""ucosummary"", ""uri""]",1,"[""Log4Shell""]"
Relationship Traversal Queries,List exploit targets for vulnerabilities published after '2023-01-01'.,"MATCH (et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) WHERE vuln.ucopublishedDateTime > '2023-01-01T00:00:00' RETURN et.uri, vuln.ucosummary","List exploit targets for vulnerabilities published after January 1, 2023.","[""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASVULNERABILITY""]","[""ucopublishedDateTime"", ""ucosummary"", ""uri""]",1,"[""2023-01-01T00:00:00""]"
Relationship Traversal Queries,What vulnerabilities exist for the 'Windows SMB' exploit target?,MATCH (et:UcoExploitTarget {uri: 'example/target/smb'})-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) RETURN vuln.ucosummary,What vulnerabilities are linked to the 'example/target/smb' exploit target?,"[""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASVULNERABILITY""]","[""ucosummary"", ""uri""]",1,"[""example/target/smb""]"
Relationship Traversal Queries,What weaknesses (CWEs) are associated with the 'Web Server' exploit target?,"MATCH (et:UcoExploitTarget {uri: 'example/target/webserver'})-[:UCOHASWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName",What weaknesses (CWEs) are associated with the 'example/target/webserver' exploit target?,"[""UcoCWE"", ""UcoExploitTarget""]","[""UCOHASWEAKNESS""]","[""ucocweID"", ""ucocweName"", ""uri""]",1,"[""example/target/webserver""]"
Relationship Traversal Queries,What software was used in the 'SolarWinds Orion' campaign?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used in the 'SolarWinds Orion' campaign?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexNAME""]",1,"[""SolarWinds Orion""]"
Relationship Traversal Queries,List campaigns that use 'powershell'.,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE {ucoexNAME: 'powershell'}) RETURN c.ucoexNAME,Which campaigns used 'powershell'?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexNAME""]",1,"[""powershell""]"
Relationship Traversal Queries,Show all 'Enterprise' domain campaigns and the software they leverage.,"MATCH (c:UcoexCAMPAIGNS {ucoexDOMAIN: 'Enterprise'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN c.ucoexNAME, s.ucoexNAME",List 'Enterprise' campaigns and the software they used.,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexDOMAIN"", ""ucoexNAME""]",1,"[""Enterprise""]"
Relationship Traversal Queries,Find software used in the 'WannaCry' campaign.,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used in the 'WannaCry' campaign?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexNAME""]",1,"[""WannaCry""]"
Relationship Traversal Queries,Which campaigns use the 'Phishing' technique?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN c.ucoexNAME,Which campaigns used the 'Phishing' technique?,"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE""]","[""ucoexNAME""]",1,"[""Phishing""]"
Relationship Traversal Queries,List all 'Enterprise' domain campaigns and their associated techniques.,"MATCH (c:UcoexCAMPAIGNS {ucoexDOMAIN: 'Enterprise'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN c.ucoexNAME, t.ucoexNAME",List 'Enterprise' campaigns and the techniques they used.,"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE""]","[""ucoexDOMAIN"", ""ucoexNAME""]",1,"[""Enterprise""]"
Relationship Traversal Queries,Find groups that use 'netcat'.,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE {ucoexNAME: 'netcat'}) RETURN g.ucoexNAME,Which groups use 'netcat'?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",1,"[""netcat""]"
Multi-hop Queries,What other techniques are used by the group responsible for the 'WannaCry' campaign?,"MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[:UCOEXATTRIBUTEDTO]->(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, t.ucoexNAME",Identify the threat group behind 'WannaCry' and list their known TTPs.,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXATTRIBUTEDTO"", ""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""WannaCry""]"
