Category,NaturalLanguageQuestion,CypherQuery,generated_question,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Multi-hop Queries,Which CVEs were exploited during the WannaCry campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN cve.label,"What CVEs are exploited by the 'WannaCry' campaign, based on its chain of techniques, attack patterns, and weaknesses?","[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexCAMPAIGNS"", ""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE"", ""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING"", ""UCOHASCVE_ID"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""label"", ""ucoexNAME""]",6,"[""WannaCry Ransomware Attack""]"
Multi-hop Queries,Which threat actors use TTPs that 'Network Segmentation' can block?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'}) RETURN g.ucoexNAME,Which threat groups use techniques that 'Network Segmentation' can mitigate?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXMITIGATES""]","[""ucoexNAME""]",2,"[""Network Segmentation""]"
Multi-hop Queries,Show TTPs used by APT28 and their corresponding CAPEC attack patterns.,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC) RETURN t.ucoexNAME, c.ucoexCAPEC_name","What techniques does 'APT28' use, and which CAPEC attack patterns do they map to?","[""UcoexCAPEC"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXHASTAXONOMYMAPPING""]","[""ucoexCAPEC_name"", ""ucoexNAME""]",2,"[""APT28""]"
Multi-hop Queries,"Find vulnerabilities that share the same weakness type (CWE) as CVE-2017-0144, based on observed incidents.",MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN v.ucosummary,Find vulnerabilities linked to weaknesses that were observed in an example related to 'CVE-2017-0144'.,"[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN"", ""UCOHASOBSERVEDEXAMPLE"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""label"", ""ucosummary""]",4,"[""CVE-2017-0144""]"
Multi-hop Queries,What mitigations exist for the TTPs associated with FIN7's known toolset?,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME,What are the mitigations for techniques used by the software in 'FIN7's' toolkit?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS"", ""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE"", ""UCOEXMITIGATES"", ""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexNAME""]",3,"[""FIN7""]"
Multi-hop Queries,Which campaigns leverage tools that rely on the 'PowerShell' TTP?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN c.ucoexNAME,Which campaigns use software that relies on the 'PowerShell' technique?,"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE"", ""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""PowerShell""]"
Multi-hop Queries,Which threat actors have TTP overlap with the SolarWinds campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN g.ucoexNAME,Which groups use the same attack techniques as the 'SolarWinds Orion Attack' campaign?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE"", ""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""SolarWinds Orion Attack""]"
Multi-hop Queries,What underlying weaknesses (CWEs) are associated with 'Phishing' via CAPEC patterns?,MATCH (:UcoexMITREATTACK {ucoexNAME: 'Phishing'})<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID,What weaknesses (CWEs) are related to attack patterns (CAPEC) that map to 'Phishing'?,"[""UcoCWE"", ""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING""]","[""ucocweID"", ""ucoexNAME""]",2,"[""Phishing""]"
Multi-hop Queries,What D3FEND countermeasures are recommended for TTPs used by the Lazarus Group?,MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND defenses counter the techniques used by the 'Lazarus Group'?,"[""UcoexGROUPS"", ""UcoexMITREATTACK"", ""UcoexMITRED3FEND""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXHASMITREATTACK""]","[""ucoexMITRED3FEND_LABEL"", ""ucoexNAME""]",2,"[""Lazarus Group""]"
Aggregation and Counting,Count the number of distinct TTPs linked to APT28.,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(t),How many attack techniques are linked to 'APT28'?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",1,"[""APT28""]"
Aggregation and Counting,Show a count of campaigns for each threat actor.,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(c) AS campaignCount",Show me a count of campaigns attributed to each threat group.,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",1,[]
Aggregation and Counting,Calculate the average exploitability score across all CVEs.,MATCH (c:UcoCVE) RETURN avg(toInteger(c.ucoexploitabilityScore)),What is the average exploitability score for all CVEs?,"[""UcoCVE""]",[],"[""ucoexploitabilityScore""]",0,[]
Aggregation and Counting,How many unique tools are tracked across all threat actor toolkits?,MATCH (:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN count(DISTINCT s),How many unique software tools are used by all groups combined?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE""]",[],1,[]
Aggregation and Counting,What is the highest impact score listed for any CVE?,MATCH (c:UcoCVE) RETURN max(toInteger(c.ucoimpactScore)),What is the highest impact score of any CVE in the database?,"[""UcoCVE""]",[],"[""ucoimpactScore""]",0,[]
Aggregation and Counting,Count the related CWEs for each CAPEC attack pattern.,"MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN capec.ucoexCAPEC_name, count(cwe) AS weaknessCount",How many related weaknesses (CWEs) does each CAPEC attack pattern have?,"[""UcoCWE"", ""UcoexCAPEC""]","[""UCOEXHASRELATEDWEAKNESS""]","[""ucoexCAPEC_name""]",1,[]
Aggregation and Counting,What is the total count of vulnerability records?,MATCH (v:UcoVulnerability) RETURN count(v),What is the total number of vulnerabilities in the database?,"[""UcoVulnerability""]",[],[],0,[]
Aggregation and Counting,Show how many TTPs each mitigation addresses.,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount",Show the count of techniques that each mitigation addresses.,"[""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXMITIGATES""]","[""ucoexNAME""]",1,[]
Aggregation and Counting,How many total 'in-the-wild' examples are recorded for all weakness types?,MATCH (:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN count(ex),What is the total number of observed examples for all weaknesses?,"[""UcoCWE"", ""UcoexObservedExample""]","[""UCOHASOBSERVEDEXAMPLE""]",[],1,[]
Aggregation and Counting,Count the number of campaigns known to use the 'PowerShell' TTP.,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN count(c),How many campaigns use the 'PowerShell' technique?,"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE""]","[""ucoexNAME""]",1,"[""PowerShell""]"
Conditional and Boolean Queries,Show me high-impact (score > 5) CVEs that require no user interaction to exploit.,"MATCH (c:UcoCVE) WHERE toInteger(c.ucoimpactScore) > 5 AND c.ucouserInteractionRequired = 'false' RETURN c.label, c.ucoimpactScore",Find CVEs with an impact score over 5 that don't require user interaction.,"[""UcoCVE""]",[],"[""label"", ""ucoimpactScore"", ""ucouserInteractionRequired""]",0,"[""5"", ""false""]"
Conditional and Boolean Queries,Get all 'open-source' or 'commercial' software entries.,"MATCH (s:UcoexSOFTWARE) WHERE s.ucoexDOMAIN = 'open-source' OR s.ucoexDOMAIN = 'commercial' RETURN s.ucoexNAME, s.ucoexDOMAIN",List all software that is either 'open-source' or 'commercial'.,"[""UcoexSOFTWARE""]",[],"[""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""commercial"", ""open-source""]"
Conditional and Boolean Queries,List all campaigns *not* attributed to APT28.,MATCH (c:UcoexCAMPAIGNS) WHERE NOT EXISTS((c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS {ucoexNAME: 'APT28'})) RETURN c.ucoexNAME,Which campaigns are NOT attributed to 'APT28'?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",1,"[""APT28""]"
Conditional and Boolean Queries,"What TTPs does Lazarus Group use, excluding 'Phishing'?",MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE t.ucoexNAME <> 'Phishing' RETURN t.ucoexNAME,"What techniques does the 'Lazarus Group' use, besides 'Phishing'?","[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",1,"[""Lazarus Group"", ""Phishing""]"
Conditional and Boolean Queries,Pull all 'CRITICAL' severity CVEs published since the start of 2020.,MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'CRITICAL' AND c.ucopublishedDateTime > datetime('2020-01-01T00:00:00Z') RETURN c.label,List all 'CRITICAL' CVEs published after the start of 2020.,"[""UcoCVE""]",[],"[""label"", ""ucobaseSeverity"", ""ucopublishedDateTime""]",0,"[""2020-01-01T00:00:00Z"", ""CRITICAL""]"
Conditional and Boolean Queries,Which non-Russian threat actors are known to use 'Cobalt Strike'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) WHERE NOT g.ucoexDESCRIPTION CONTAINS 'Russian' RETURN g.ucoexNAME,Which non-Russian groups use 'Cobalt Strike'?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE""]","[""ucoexDESCRIPTION"", ""ucoexNAME""]",1,"[""Cobalt Strike"", ""Russian""]"
Conditional and Boolean Queries,Find vulnerabilities that allow full privilege escalation without user interaction.,MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) WHERE c.ucoobtainAllPrivilege = 'true' AND c.ucouserInteractionRequired = 'false' RETURN v.ucosummary,What vulnerability summaries describe exploits that grant full privileges without user interaction?,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""ucoobtainAllPrivilege"", ""ucosummary"", ""ucouserInteractionRequired""]",1,"[""false"", ""true""]"
Conditional and Boolean Queries,Show me 'High' severity attack patterns (CAPEC) that have a 'Low' likelihood.,MATCH (c:UcoexCAPEC) WHERE c.ucoexSeverity = 'High' AND c.ucoexLikelihood = 'Low' RETURN c.ucoexCAPEC_name,"What are the names of 'High' severity, 'Low' likelihood attack patterns (CAPEC)?","[""UcoexCAPEC""]",[],"[""ucoexCAPEC_name"", ""ucoexLikelihood"", ""ucoexSeverity""]",0,"[""High"", ""Low""]"
Conditional and Boolean Queries,List all mitigations *except* 'Network Segmentation'.,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexNAME <> 'Network Segmentation' RETURN m.ucoexNAME,List all mitigations except 'Network Segmentation'.,"[""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",0,"[""Network Segmentation""]"
Path Queries (Variable-length),Is there any relationship at all between the SolarWinds campaign and Mimikatz?,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1,Is there any connection between the 'SolarWinds Orion Attack' and 'Mimikatz'?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",1,"[""0"", ""Mimikatz"", ""SolarWinds Orion Attack"", ""false"", ""true""]"
Path Queries (Variable-length),What's the shortest path connecting APT28 to the PowerShell TTP?,MATCH p = shortestPath((:UcoexGROUPS {ucoexNAME: 'APT28'})-[*]-(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})) RETURN p,What's the shortest path between the 'APT28' group and the 'PowerShell' technique?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]",[],"[""ucoexNAME""]",1,"[""APT28"", ""PowerShell""]"
Path Queries (Variable-length),"Show all software that Lazarus Group has any outbound connection to, no matter how many hops.",MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[*]->(s:UcoexSOFTWARE) RETURN DISTINCT s.ucoexNAME,What software is reachable from the 'Lazarus Group' via any path?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",1,"[""Lazarus Group""]"
Path Queries (Variable-length),Trace the attack path from any campaign that leads to the exploitation of CVE-2017-0144.,MATCH p = (:UcoexCAMPAIGNS)-[*]->(:UcoCVE {label: 'CVE-2017-0144'}) RETURN p,Show me any attack path from a campaign that leads to 'CVE-2017-0144'.,"[""UcoCVE"", ""UcoexCAMPAIGNS""]",[],"[""label""]",1,"[""CVE-2017-0144""]"
Path Queries (Variable-length),"Show me mitigations that are two hops away from FIN7 (e.g., for TTPs they use).",MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*2]->(m:UcoexMITIGATIONS) RETURN DISTINCT m.ucoexNAME,What mitigations are 2 hops away from the 'FIN7' group?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",1,"[""FIN7""]"
Path Queries (Variable-length),Give me the 2-hop neighborhood for CVE-2021-44228. What's directly connected to it?,"MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[*1..2]-(n) RETURN DISTINCT labels(n), n.uri, n.ucoexNAME, n.label",Find all nodes within 2 hops of 'CVE-2021-44228' and show their labels and names/IDs.,"[""UcoCVE""]",[],"[""label"", ""ucoexNAME"", ""uri""]",1,"[""CVE-2021-44228""]"
Path Queries (Variable-length),Find me some examples of threat actors and mitigations that are very distantly related (3+ hops).,"MATCH p = (g:UcoexGROUPS)-[*3..]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, m.ucoexNAME LIMIT 10",Show me 10 examples of groups and mitigations that are at least 3 hops apart.,"[""UcoexGROUPS"", ""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",1,[]
Path Queries (Variable-length),Show me an example path connecting a campaign to a vulnerability.,MATCH p = (:UcoexCAMPAIGNS)-[*]-(:UcoVulnerability) RETURN p LIMIT 1,Find a single path that connects any campaign to any vulnerability.,"[""UcoVulnerability"", ""UcoexCAMPAIGNS""]",[],[],1,[]
Path Queries (Variable-length),"Map out all outbound connections from the WannaCry campaign, up to 4 hops deep.",MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[*1..4]->(n) RETURN p,Show all paths 1 to 4 hops long starting from the 'WannaCry Ransomware Attack'.,"[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",1,"[""WannaCry Ransomware Attack""]"
Graph Pattern Matching,Which threat actors are known to use both PowerShell and Phishing TTPs?,MATCH (t1:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN g.ucoexNAME,Which groups use both 'PowerShell' and 'Phishing' techniques?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""Phishing"", ""PowerShell""]"
Graph Pattern Matching,Show me campaigns that share tooling with APT28. List the campaign and the shared tool.,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME, s.ucoexNAME",Which campaigns use the same software as 'APT28'?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE"", ""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",2,"[""APT28""]"
