Title,Document,Identifier,Group
Mahalo FIN7: Responding to the Criminal Operators’ New Tools and Techniques,Mahalo FIN7_ Responding to the Criminal Operators' New Tools and Techniques _ Mandiant _ Google Cloud Blog.pdf,FIREEYE1,FIN7
Deep Insight into “FIN7” Malware Chain: From Office Macro Malware to Lightweight JS Loader,Deep Insight into “FIN7” Malware Chain_ From Office Macro Malware to Lightweight JS Loader - SentinelLabs.pdf,SENTINELONE,FIN7
FIN7.5: the infamous cybercrime rig “FIN7” continues its activities,FIN7.5_ the infamous cybercrime rig “FIN7” continues its activities _ Securelist.pdf,KASPERKY2,FIN7
FIN7 Revisited: Inside Astra Panel and SQLRat Malware,Tesi — FIN7 Revisited_ Inside Astra Panel and SQLRat Malware _ Flashpoint.pdf,KASPERKY3,FIN7
Profile of an Adversary – FIN7,Profile of an Adversary - FIN7 _ Deepwatch.pdf,DEEPWATCH,FIN7
FIN7 Not Finished – Morphisec Spots New Campaign,FIN7 Not Finished – Morphisec Spots New Campaign.pdf,FIREEYE3,FIN7
On the Hunt for FIN7: Pursuing an Enigmatic and Evasive Global Criminal Operation,On the Hunt for FIN7_ Pursuing an Enigmatic and Evasive Global Criminal Operation _ Mandiant _ Google Cloud Blog.pdf,FIREEYE2,FIN7
HOW FIN7 ATTACKED AND STOLE DATA,fact_sheet_how_fin7_attached_and_stole_data_0.pdf,DOJ,FIN7
Footprints of Fin7: Pushing New Techniques to Evade Detection,Footprints of Fin7_ Pushing New Techniques to Evade Detection - Gigamon Blog.pdf,GIGAMON1,FIN7
FIN7 Group Uses JavaScript and Stealer DLL Variant in New Attacks,FIN7 Group Uses JavaScript and Stealer DLL Variant in New Attacks.pdf,TALOS,FIN7
FIN7/Carbanak threat actor unleashes Bateleur JScript backdoor,FIN7_Carbanak threat actor unleashes Bateleur JScript backdoor _ Proofpoint US.pdf,PROOFPOINT,FIN7
Footprints of FIN7: Tracking Actor Patterns (Part 2),Footprints of FIN7_ Tracking Actor Patterns (Part 2) - Gigamon Blog.pdf,GIGAMON2,FIN7
Footprints of Fin7: Tracking Actor Patterns (Part 1),Footprints of Fin7_ Tracking Actor Patterns (Part 1) - Gigamon Blog.pdf,GIGAMON3,FIN7
Behind the CARBANAK Backdoor,Behind the CARBANAK Backdoor _ Mandiant _ Google Cloud Blog.pdf,FIREEYE4,FIN7
FIN7 Takes Another Bite at the Restaurant Industry,FIN7 Takes Another Bite at the Restaurant Industry.pdf,MORPHISEC,FIN7
"To SDB, Or Not To SDB: FIN7 Leveraging Shim Databases for Persistence","To SDB, Or Not To SDB_ FIN7 Leveraging Shim Databases for Persistence _ Google Cloud Blog.pdf",FIREEYE5,FIN7
FIN7 Evolution and the Phishing LNK,FIN7 Evolution and the Phishing LNK _ Mandiant _ Google Cloud Blog.pdf,FIREEYE6,FIN7
APT34: The Helix Kitten Cybercriminal Group Loves to Meow Middle Eastern and International Organizations,APT34 The Helix Kitten Cybercriminal Group Loves to Meow Middle Eastern and International Organizations.pdf,CYWARE,OILRIG
Threat Brief: Iranian-Linked Cyber Operations,Threat Brief_ Iranian-Linked Cyber Operations.pdf,UNIT42_1,OILRIG
Please Confirm You Received Our APT,Please Confirm You Received Our APT _ FortiGuard Labs .pdf,FORTINET,OILRIG
"New Targeted Attack in the Middle East by APT34, a Suspected Iranian Threat Group, Using CVE-2017-11882 Exploit","New Targeted Attack in the Middle East by APT34, a Suspected Iranian Threat Group, Using CVE-2017-11882 Exploit _ Google Cloud Blog.pdf",MANDIANT,OILRIG
New Iranian Campaign Tailored to US Companies Utilizes an Updated Toolset,Iranian Campaign Tailored to US Companies Uses Updated Toolset - Intezer.pdf,INTEZER,OILRIG
IRAN’S APT34 RETURNS WITH AN UPDATED ARSENAL,Iran’s APT34 Returns with an Updated Arsenal - Check Point Research.pdf,RESEARCH,OILRIG
APT34 targets Jordan Government using new Saitama backdoor,APT34 targets Jordan Government using new Saitama backdoor.pdf,THREATDOWN,OILRIG
Behind the Scenes with OilRig,Behind the Scenes with OilRig.pdf,UNIT42_2,OILRIG
Six Russian GRU Officers Charged in Connection with Worldwide Deployment of Destructive Malware and Other Disruptive Actions in Cyberspace,SixRussianGRUOfficers.pdf,SIXRUSSIANGRUOFFICERS,SANDWORM
Carbon Black Threat Research Technical Analysis: Petya / NotPetya Ransomware,CarbonBlack.pdf,CARBONBLACK,SANDWORM
CRASHOVERRIDE Analysis of the Threat to Electric Grid Operations,CrashOverride.pdf,CRASHOVERRIDE,SANDWORM
Mapping MITRE ATT&CK to SandWorm APT’s Global Campaign,MappingMITREToSandWormAPT.pdf,MAPPINGMITRETOSANDWORMAPT,SANDWORM
"ExPetr/Petya/NotPetya is a Wiper, Not Ransomware",NotPetya.pdf,NOTPETYA,SANDWORM
Olympic Destroyer Takes Aim At Winter Olympics,OlympicDestroyer.pdf,OLYMPICDESTROYER,SANDWORM
Cyber-Attack Against Ukrainian Critical Infrastructure,UkrainianCriticalInfrastructure.pdf,UKRAINIANCRITICALINFRASTRUCTURE,SANDWORM
Sandworm Team and the Ukrainian Power Authority Attacks,UkrainianPowerAuthorityAttacks.pdf,UKRAININAPOWERAUTHORITYATTACKS,SANDWORM
Trickbot Adds Credential-Grabbing Capabilities,Trickbot Adds Credential-Grabbing Capabilities - Trend Micro (US).pdf,TRENDMICRO,WIZARDSPIDER
Big Game Hunting with Ryuk: Another Lucrative Targeted Ransomware,What is Ryuk Ransomware_ The Complete Breakdown.pdf,CROWD,WIZARDSPIDER
"Ryuk wakes from hibernation; FBI, DHS warn of healthcare attacks","Ryuk wakes from hibernation; FBI, DHS warn of healthcare attacks - Cybersecurity Dive.pdf",DIVE,WIZARDSPIDER
