ID,Type,Question,Gold_Answer
16,CWE,How is CWE-352 exploited in web applications?,"CWE-352 describes Cross-Site Request Forgery (CSRF), where attackers trick users into submitting unauthorized requests using their authenticated session. It exploits the trust a web application has in the user's browser."
17,CWE,What makes CWE-200 a serious vulnerability?,"CWE-200 involves Information Exposure, where sensitive data is disclosed to unauthorized users. This can lead to breaches of confidentiality, such as exposing credentials or internal system details."
18,CWE,What’s the difference between CWE-285 and CWE-287?,"CWE-285 is Improper Authorization, where access control is not correctly enforced, while CWE-287 is Improper Authentication, where the identity of users is not verified. The former governs what users can do, the latter governs who they are."
19,CWE,Which CWE is associated with race conditions in file access?,"CWE-362 covers race conditions like Time-of-Check to Time-of-Use (TOCTOU), where the state of a resource changes between check and use. This can allow attackers to manipulate file or memory state unexpectedly."
20,CWE,What weakness is CWE-416 and why is it dangerous?,"CWE-416 refers to Use After Free, where a program continues to use memory after it has been released. This can lead to crashes, data corruption, or arbitrary code execution."
21,General,What are the vulnerabilities associated with OpenBSD?,"OpenBSD has been affected by vulnerabilities such as format string issues in su and ssh, and denial of service via kernel panic through ipintr() and ipq. These map to weaknesses like CWE-134 and CWE-400."
22,General,Which CVEs have been exploited in Microsoft Outlook?,"Microsoft Outlook has been targeted by CVEs such as CVE-2023-23397, which allowed zero-click code execution via calendar invites. These vulnerabilities often involve CWE-287 and CWE-77."
23,General,What are common issues found in Apache Log4j?,"Apache Log4j has been notably impacted by CVE-2021-44228, which allows remote code execution via JNDI injection. This vulnerability maps to CWE-502 and CWE-20."
24,General,Which vulnerabilities have affected SMB protocol implementations?,SMB protocol implementations have been exploited through CVEs like CVE-2017-0144 and CVE-2020-0796. These are linked to weaknesses such as buffer overflows (CWE-119) and improper input validation (CWE-20).
25,General,What types of weaknesses are linked to improper input validation?,"Improper input validation can lead to a range of weaknesses including buffer overflows, injection attacks, and denial of service. Common CWEs involved are CWE-20, CWE-119, and CWE-89."
26,General,What are known CVEs related to the Spring Framework?,"Spring Framework vulnerabilities include CVE-2022-22965 (Spring4Shell) and CVE-2018-1270. These relate to improper input handling and insecure deserialization, such as CWE-20 and CWE-502."
27,General,Which CWEs are typically exploited in authentication bypass attacks?,Authentication bypass attacks commonly exploit CWE-287: Improper Authentication and CWE-306: Missing Authentication for Critical Function. They may also involve manipulation of session state or credentials.
28,General,What flaws are associated with Windows Print Spooler service?,The Windows Print Spooler service has been exploited via vulnerabilities like CVE-2021-34527 (PrintNightmare). These often map to CWE-269: Improper Privilege Management and CWE-269.
29,General,What are typical vulnerabilities that lead to information disclosure?,Information disclosure vulnerabilities are often categorized under CWE-200. Real-world examples include Heartbleed (CVE-2014-0160) and misconfigured cloud storage buckets.
30,General,What security weaknesses are often found in web applications?,"Web applications are frequently affected by XSS (CWE-79), CSRF (CWE-352), SQL injection (CWE-89), and improper authentication (CWE-287). These issues arise due to poor input handling and lack of secure session management."
