Category,NaturalLanguageQuestion,CypherQuery
"Aggregation and Counting","Count the number of software entries per domain.","MATCH (s:UcoexSOFTWARE) RETURN s.ucoexDOMAIN, count(s) AS softwareCount"
"Aggregation and Counting","What is the total number of mitigations available?","MATCH (m:UcoexMITIGATIONS) RETURN count(m) AS totalMitigations"
"Conditional and Boolean Queries","Find all CVEs with 'HIGH' severity AND where user interaction is required.","MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'HIGH' AND c.ucouserInteractionRequired = 'true' RETURN c.label"
"Conditional and Boolean Queries","List all software that is either used by the 'APT29' group OR is associated with the 'T1548' technique.","MATCH (s:UcoexSOFTWARE) WHERE (:UcoexGROUPS {ucoexNAME: 'APT29'})-[:UCOEXGROUPUSESSOFTWARE]->(s) OR (s)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'T1548'}) RETURN s.ucoexNAME"
"Conditional and Boolean Queries","Find all CWEs that are of 'Class' structure and NOT 'Deprecated' status.","MATCH (c:UcoCWE) WHERE c.ucostructure = 'Class' AND NOT c.ucostatus = 'Deprecated' RETURN c.ucocweID, c.ucocweName"
"Conditional and Boolean Queries","List campaigns that are not attributed to any known group.","MATCH (c:UcoexCAMPAIGNS) WHERE NOT (c)-[:UCOEXATTRIBUTEDTO]->() RETURN c.ucoexNAME"
"Conditional and Boolean Queries","Find techniques that have a 'High' likelihood of exploit AND a 'High' severity.","MATCH (c:UcoexCAPEC) WHERE c.ucoexLikelihood = 'High' AND c.ucoexSeverity = 'High' MATCH (c)-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK) RETURN DISTINCT t.ucoexNAME"
"Conditional and Boolean Queries","Retrieve vulnerabilities published after '2022-01-01' but before '2023-01-01'.","MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime > datetime('2022-01-01') AND v.ucopublishedDateTime < datetime('2023-01-01') RETURN v.uri, v.ucosummy"
"Conditional and Boolean Queries","Find all CVEs where 'obtainAllPrivilege' is true AND 'userInteractionRequired' is false.","MATCH (c:UcoCVE) WHERE c.ucoobtainAllPrivilege = 'true' AND c.ucouserInteractionRequired = 'false' RETURN c.label"
"Conditional and Boolean Queries","List groups that use either 'PowerShell' or 'Cobalt Strike' software.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME = 'PowerShell' OR s.ucoexNAME = 'Cobalt Strike' RETURN DISTINCT g.ucoexNAME"
"Conditional and Boolean Queries","Find CAPEC patterns that are not abstract and have consequences listed.","MATCH (c:UcoexCAPEC) WHERE c.ucoexAbstraction <> 'Abstract' AND size(c.ucoexConsequences) > 0 RETURN c.ucoexCAPEC_id"
"Conditional and Boolean Queries","Retrieve techniques that are not mitigated by any recorded mitigation strategy.","MATCH (t:UcoexMITREATTACK) WHERE NOT (t)<-[:UCOEXMITIGATES]-() RETURN t.ucoexNAME"
"Path Queries","Is there any connection, up to 5 hops, between the 'APT1' group and the 'T1059' technique?","MATCH p = (g:UcoexGROUPS {ucoexNAME: 'APT1'})-[*1..5]-(t:UcoexMITREATTACK {ucoexNAME: 'T1059'}) RETURN p LIMIT 1"
"Path Queries","Find all paths between CAPEC 'CAPEC-66' and MITRE ATT&CK 'T1595'.","MATCH p = (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-66'})-[*]-(t:UcoexMITREATTACK {ucoexNAME: 'T1595'}) RETURN p"
"Path Queries","What are all the entities connected to 'CVE-2017-0144' within 3 steps?","MATCH (c:UcoCVE {label: 'CVE-2017-0144'})-[*1..3]-(relatedNode) RETURN DISTINCT relatedNode"
"Path Queries","Find the shortest path between the 'Emotet' software and the 'CWE-20' weakness.","MATCH p = shortestPath((s:UcoexSOFTWARE {ucoexNAME: 'Emotet'})-[*]-(w:UcoCWE {ucocweID: 'CWE-20'})) RETURN p"
"Path Queries","Find if a campaign is connected to a specific CVE through any path.","MATCH p = (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[*]-(cve:UcoCVE {label: 'CVE-2017-0144'}) RETURN CASE WHEN p IS NOT NULL THEN true ELSE false END AS isConnected"
"Path Queries","List all nodes that are reachable from the 'TrickBot' software in 2 to 4 hops.","MATCH (s:UcoexSOFTWARE {ucoexNAME: 'TrickBot'})-[*2..4]-(n) RETURN DISTINCT n"
"Path Queries","Find all relationships and intermediate nodes between the 'FIN6' group and the 'Valid Accounts' technique.","MATCH p = (g:UcoexGROUPS {ucoexNAME: 'FIN6'})-[*]-(t:UcoexMITREATTACK {ucoexNAME: 'Valid Accounts'}) RETURN nodes(p), relationships(p)"
"Path Queries","Does the 'APT29' group have a path to any vulnerabilities with 'CRITICAL' severity?","MATCH p = (g:UcoexGROUPS {ucoexNAME: 'APT29'})-[*]-(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN EXISTS(p)"
"Path Queries","Explore the neighborhood of the 'Zeus' software up to 2 hops.","MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Zeus'})-[*1..2]-(neighbor) RETURN s, neighbor"
"Path Queries","Find the shortest connection between two campaigns, 'Maze' and 'Ryuk'.","MATCH p = shortestPath((c1:UcoexCAMPAIGNS {ucoexNAME: 'Maze'})-[*]-(c2:UcoexCAMPAIGNS {ucoexNAME: 'Ryuk'})) RETURN p"
"Graph Pattern Matching","Find groups that use the same two techniques.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t1:UcoexMITREATTACK), (g)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK) WHERE id(t1) < id(t2) RETURN g.ucoexNAME, t1.ucoexNAME, t2.ucoexNAME"
"Graph Pattern Matching","Identify software used by a campaign which also uses a technique that is mitigated by 'Network Segmentation'.","MATCH (s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'}) RETURN s.ucoexNAME"
"Graph Pattern Matching","Find a ""triangle"" where a Group uses a Technique, and that Technique is used in a Campaign attributed to the same Group.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK), (g)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t) RETURN g.ucoexNAME, t.ucoexNAME, c.ucoexNAME"
"Graph Pattern Matching","Find two distinct campaigns that use the same piece of software.","MATCH (c1:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c2:UcoexCAMPAIGNS) WHERE id(c1) < id(c2) RETURN s.ucoexNAME, c1.ucoexNAME, c2.ucoexNAME"
"Graph Pattern Matching","Find groups that target the same software.","MATCH (g1:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS) WHERE id(g1) < id(g2) RETURN s.ucoexNAME, g1.ucoexNAME, g2.ucoexNAME"
"Graph Pattern Matching","Identify a pattern where a CVE has a CPE, and that CPE is associated with software used by a known group.","MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(cpe:UcoexCPE)<-[:UCOEXHASCPE]-(sw:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g:UcoexGROUPS) RETURN cve.label, sw.ucoexNAME, g.ucoexNAME"
"Graph Pattern Matching","Find a CAPEC that has a related CWE, and that CWE has an observed example in a CVE.","MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(obs:UcoexObservedExample)-[:UCOEXEXAMPLEOBSERVEDIN]->(cve:UcoCVE) RETURN capec.ucoexCAPEC_id, cwe.ucocweID, cve.label"
"Graph Pattern Matching","Find groups that use software which has a known vulnerability.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN DISTINCT g.ucoexNAME, s.ucoexNAME"
"Graph Pattern Matching","Find techniques that are part of the same tactic and are used by the same group.","MATCH (tactic:UcoexTACTICS)<-[:UCOEXHASTAXONOMYMAPPING]-(tech1:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(group:UcoexGROUPS), (tactic)<-[:UCOEXHASTAXONOMYMAPPING]-(tech2:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(group) WHERE id(tech1) < id(tech2) RETURN group.ucoexNAME, tactic.ucoexNAME, tech1.ucoexNAME, tech2.ucoexNAME"
"Graph Pattern Matching","Find campaigns that use software that mitigations exist for.","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN DISTINCT c.ucoexNAME"
"Comparative and Ranking Queries","Which 10 CVEs have the highest exploitability scores?","MATCH (c:UcoCVE) WHERE c.ucoexploitabilityScore IS NOT NULL RETURN c.label, c.ucoexploitabilityScore ORDER BY toInteger(c.ucoexploitabilityScore) DESC LIMIT 10"
"Comparative and Ranking Queries","List the top 5 groups that use the most techniques.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, count(t) AS techniqueCount ORDER BY techniqueCount DESC LIMIT 5"
"Comparative and Ranking Queries","Which vulnerabilities have a higher exploitability score than impact score?","MATCH (c:UcoCVE) WHERE toInteger(c.ucoexploitabilityScore) > toInteger(c.ucoimpactScore) RETURN c.label, c.ucoexploitabilityScore, c.ucoimpactScore"
"Comparative and Ranking Queries","Find techniques that are associated with more than 5 CAPEC patterns.","MATCH (t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC) WITH t, count(c) AS capecCount WHERE capecCount > 5 RETURN t.ucoexNAME, capecCount"
"Comparative and Ranking Queries","Rank software by the number of campaigns that use it, from most to least.","MATCH (s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN s.ucoexNAME, count(c) AS campaignUsage ORDER BY campaignUsage DESC"
"Comparative and Ranking Queries","List the 10 oldest vulnerabilities in the database.","MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime IS NOT NULL RETURN v.uri, v.ucopublishedDateTime ORDER BY v.ucopublishedDateTime ASC LIMIT 10"
"Comparative and Ranking Queries","Which CWEs are related to the most CAPEC patterns?","MATCH (w:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(c:UcoexCAPEC) RETURN w.ucocweID, w.ucocweName, count(c) as capec_count ORDER BY capec_count DESC LIMIT 10"
"Comparative and Ranking Queries","Find all campaigns using more than 3 distinct pieces of software.","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) WITH c, count(DISTINCT s) AS softwareCount WHERE softwareCount > 3 RETURN c.ucoexNAME, softwareCount"
"Comparative and Ranking Queries","Which mitigations cover the highest number of techniques?","MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniquesMitigated ORDER BY techniquesMitigated DESC LIMIT 5"
"Comparative and Ranking Queries","List CVEs with an impact score less than 5 but an exploitability score greater than 8.","MATCH (c:UcoCVE) WHERE toInteger(c.ucoimpactScore) < 5 AND toInteger(c.ucoexploitabilityScore) > 8 RETURN c.label"
"Existence and Set Operations Queries","Find all groups that are known to use at least one technique.","MATCH (g:UcoexGROUPS) WHERE EXISTS((g)-[:UCOEXGROUPUSESTECHNIQUE]->()) RETURN g.ucoexNAME"
"Existence and Set Operations Queries","List all CAPEC patterns that have a related weakness in the set ['CWE-89', 'CWE-79', 'CWE-78'].","MATCH (c:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) WHERE w.ucocweID IN ['CWE-89', 'CWE-79', 'CWE-78'] RETURN DISTINCT c.ucoexCAPEC_id"
"Existence and Set Operations Queries","Show all techniques that are either used by 'APT28' or 'APT29'.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE g.ucoexNAME = 'APT28' RETURN t.ucoexNAME AS Technique UNION MATCH (g2:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK) WHERE g2.ucoexNAME = 'APT29' RETURN t2.ucoexNAME AS Technique"
"Existence and Set Operations Queries","Find all CVEs for which a CPE exists.","MATCH (c:UcoCVE) WHERE EXISTS((c)-[:UCOEXHASCPE]->()) RETURN c.label"
"Existence and Set Operations Queries","List all software for which there is no associated campaign.","MATCH (s:UcoexSOFTWARE) WHERE NOT EXISTS(()-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s)) RETURN s.ucoexNAME"
"Existence and Set Operations Queries","Find campaigns that use any of the techniques used by the 'Turla' group.","MATCH (g:UcoexGROUPS {ucoexNAME: 'Turla'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WITH collect(t) as turlaTechniques MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t2) WHERE t2 in turlaTechniques RETURN DISTINCT c.ucoexNAME"
"Existence and Set Operations Queries","Check if any campaign uses both 'Cobalt Strike' and 'Mimikatz' software.","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}), (c)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN c.ucoexNAME"
"Existence and Set Operations Queries","List all techniques that are not associated with any CAPEC patterns.","MATCH (t:UcoexMITREATTACK) WHERE NOT EXISTS((t)<-[:UCOEXHASTAXONOMYMAPPING]-()) RETURN t.ucoexNAME"
"Existence and Set Operations Queries","Find all groups that use any software.","MATCH (g:UcoexGROUPS) WHERE (g)-[:UCOEXGROUPUSESSOFTWARE]->() RETURN g.ucoexNAME"
"Existence and Set Operations Queries","Retrieve all vulnerabilities that do not have a CVE ID assigned.","MATCH (v:UcoVulnerability) WHERE NOT (v)-[:UCOHASCVE_ID]->() RETURN v.uri"
