id,category,question,gold,full_pred,semantic_pred
23,Aggregation and Counting,Count the related CWEs for each CAPEC attack pattern.,"MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN capec.ucoexCAPEC_name, count(cwe) AS weaknessCount","MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE)
WITH capec, COUNT(cwe) AS count
RETURN capec.ucoexNAME AS name, count ORDER BY count DESC LIMIT 10","MATCH (ca:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN ca.ucoexCAPEC_name, count(w) AS weaknessCount"
24,Aggregation and Counting,What is the total count of vulnerability records?,MATCH (v:UcoVulnerability) RETURN count(v),MATCH (vulnerability:UcoVulnerability) RETURN COUNT(vulnerability) AS count,MATCH (v:UcoVulnerability) RETURN count(v) AS totalVulnerabilityCount
25,Aggregation and Counting,Show how many TTPs each mitigation addresses.,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount","MATCH (mitigation:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(tactic:UcoexTACTICS)
WITH mitigation.ucoexNAME AS mit_name, COUNT(tactic) as ttps
RETURN mit_name, ttps ORDER BY ttps DESC","MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK)
RETURN m.ucoexNAME, COUNT(t) AS num_ttps ORDER BY num_ttps DESC LIMIT 100"
26,Aggregation and Counting,How many total 'in-the-wild' examples are recorded for all weakness types?,MATCH (:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN count(ex),MATCH (cwe:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(observed_example:UcoexObservedExample) WHERE observed_example.ucoexDESCRIPTION = 'In the wild' RETURN COUNT(observed_example) AS count,MATCH (w:UcoCWE)<-[:UCOHASOBSERVEDEXAMPLE]-(oe:UcoexObservedExample) RETURN count(oe.ucoexDESCRIPTION) AS totalExamples
27,Aggregation and Counting,Count the number of campaigns known to use the 'PowerShell' TTP.,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN count(c),MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(technique:UcoexMITREATTACK) WHERE technique.ucoexNAME CONTAINS 'PowerShell' RETURN COUNT(campaign) AS count,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'PowerShell'})<-[r:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN count(c.ucoexNAME) AS campaignCount
28,Conditional and Boolean Queries,Get all 'open-source' or 'commercial' software entries.,"MATCH (s:UcoexSOFTWARE) WHERE s.ucoexDOMAIN = 'open-source' OR s.ucoexDOMAIN = 'commercial' RETURN s.ucoexNAME, s.ucoexDOMAIN",MATCH (software:UcoexSOFTWARE) WHERE software.ucoexDOMAIN = 'open-source' OR software.ucoexDOMAIN = 'commercial' RETURN DISTINCT software LIMIT 100,MATCH (s:UcoexSOFTWARE) WHERE s.ucoexSOURCE = 'open-source' OR s.ucoexSOURCE = 'commercial' RETURN DISTINCT s.ucoexNAME
29,Conditional and Boolean Queries,List all campaigns *not* attributed to APT28.,MATCH (c:UcoexCAMPAIGNS) WHERE NOT EXISTS((c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS {ucoexNAME: 'APT28'})) RETURN c.ucoexNAME,MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXATTRIBUTEDTO]->(group:UcoexGROUPS) WHERE group.ucoexNAME <> 'APT28' RETURN campaign LIMIT 100,MATCH (c:UcoexCAMPAIGNS) WHERE NOT EXISTS ((c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS {ucoexNAME: 'APT28'})) RETURN DISTINCT c.ucoexNAME
30,Conditional and Boolean Queries,Pull all 'CRITICAL' severity CVEs published since the start of 2020.,MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'CRITICAL' AND c.ucopublishedDateTime > datetime('2020-01-01T00:00:00Z') RETURN c.label,"MATCH (cve:UcoCVE) WHERE cve.ucobaseSeverity = ""CRITICAL"" AND cve.ucoevaluatorSolution CONTAINS ""2020-"" RETURN cve LIMIT 10",MATCH (cv:UcoCVE) WHERE cv.ucobaseSeverity = 'CRITICAL' AND date(cv.publication_date).year >= 2020 RETURN DISTINCT cv.label AS cve_id LIMIT 100
31,Conditional and Boolean Queries,Which non-Russian threat actors are known to use 'Cobalt Strike'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) WHERE NOT g.ucoexDESCRIPTION CONTAINS 'Russian' RETURN g.ucoexNAME,MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE) WHERE software.ucoexNAME = 'Cobalt Strike' AND NOT group.ucoexDESCRIPTION CONTAINS 'Russia' RETURN DISTINCT group.ucoexNAME,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) WHERE NOT g.ucoexREGIONCONTAINEDBY = 'Russia' RETURN DISTINCT g.ucoexNAME LIMIT 100
32,Conditional and Boolean Queries,Find vulnerabilities that allow full privilege escalation without user interaction.,MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) WHERE c.ucoobtainAllPrivilege = 'true' AND c.ucouserInteractionRequired = 'false' RETURN v.ucosummary,MATCH (cve:UcoCVE)-[:UCOHASVULNERABILITY]->(vulnerability:UcoVulnerability) WHERE cve.ucoobtainAllPrivilege = true AND cve.ucouserInteractionRequired = false RETURN vulnerability LIMIT 10,"MATCH (v:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(et:UcoExploitTarget) WHERE v.ucoprivilegeRequired = ""None"" AND v.ucouserInteractionRequired = false RETURN DISTINCT v.ucoid, v.ucosummary LIMIT 100"
33,Conditional and Boolean Queries,Show me 'High' severity attack patterns (CAPEC) that have a 'Low' likelihood.,MATCH (c:UcoexCAPEC) WHERE c.ucoexSeverity = 'High' AND c.ucoexLikelihood = 'Low' RETURN c.ucoexCAPEC_name,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexSeverity = 'High' AND capec.ucoexLikelihood = 'Low' RETURN capec LIMIT 10,"MATCH (ca:UcoexCAPEC {ucoexLikelihood: 'Low', ucoexSeverity: 'High'}) RETURN ca.ucoexCAPEC_name, ca.ucoexSeverity, ca.ucoexLikelihood LIMIT 10"
34,Path Queries (Variable-length),Is there any relationship at all between the SolarWinds campaign and Mimikatz?,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1,"MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(software:UcoexSOFTWARE) WHERE campaign.ucoexNAME = 'SolarWinds' AND software.ucoexNAME = 'Mimikatz' RETURN campaign, software",MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1
35,Path Queries (Variable-length),Trace the attack path from any campaign that leads to the exploitation of CVE-2017-0144.,MATCH p = (:UcoexCAMPAIGNS)-[*]->(:UcoCVE {label: 'CVE-2017-0144'}) RETURN p,"MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(technique:UcoexMITREATTACK)-[:UCOHASVULNERABILITY|UCOHASWEAKNESS*0..1]-(exploitTarget:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(vulnerability:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) WHERE cve.label = 'CVE-2017-0144' RETURN campaign, technique, exploitTarget, vulnerability, cve","MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOHASCVE_ID]-(:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(et:UcoExploitTarget)-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c:UcoexCAMPAIGNS) RETURN c.ucoName, t.ucoID, et.uri"
36,Path Queries (Variable-length),"Show me mitigations that are two hops away from FIN7 (e.g., for TTPs they use).",MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*2]->(m:UcoexMITIGATIONS) RETURN DISTINCT m.ucoexNAME,MATCH (group:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE|UCOHASMITREATTACK*2]-(mitigation:UcoexMITIGATIONS) RETURN mitigation LIMIT 10,MATCH p = shortestPath((g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE|UCOEXGROUPUSESSOFTWARE*..2]-(m:UcoexMITIGATIONS)) RETURN m.ucoexNAME
37,Path Queries (Variable-length),Give me the 2-hop neighborhood for CVE-2021-44228. What's directly connected to it?,"MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[*1..2]-(n) RETURN DISTINCT labels(n), n.uri, n.ucoexNAME, n.label","MATCH (cve:UcoCVE { label: 'CVE-2021-44228' })-[r]->(n) RETURN DISTINCT n, r","MATCH path = (c:UcoCVE {cveId: 'CVE-2021-44228'})-[*1..2]-(x) RETURN DISTINCT x, labels(x), type(relationships(path)), properties(x) LIMIT 20"
38,Path Queries (Variable-length),"Map out all outbound connections from the WannaCry campaign, up to 4 hops deep.",MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[*1..4]->(n) RETURN p,"MATCH (campaign:UcoexCAMPAIGNS { ucoexNAME: 'WannaCry' })-[*1..4]->(connection)
RETURN connection LIMIT 1000",MATCH p = (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[*..4]-() RETURN p LIMIT 100
39,Graph Pattern Matching,Which threat actors are known to use both PowerShell and Phishing TTPs?,MATCH (t1:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN g.ucoexNAME,MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(technique1:UcoexMITREATTACK) WHERE technique1.ucoexNAME = 'PowerShell' WITH group MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE| :UCOEXGROUPUSESTECHNIQUE]->(technique2:UcoexMITREATTACK) WHERE technique2.ucoexNAME CONTAINS 'Phishing' RETURN DISTINCT group,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) AND (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN DISTINCT g.ucoexNAME
40,Graph Pattern Matching,Show me campaigns that share tooling with APT28. List the campaign and the shared tool.,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME, s.ucoexNAME","MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXATTRIBUTEDTO]->(group:UcoexGROUPS { ucoexNAME : 'APT28' })-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(shared_campaign:UcoexCAMPAIGNS) RETURN shared_campaign, software","MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME, s.ucoexNAME"
41,Graph Pattern Matching,What tools are shared between two or more threat actors? Show the tool and the actors.,"MATCH (g1:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS) WHERE g1 <> g2 RETURN s.ucoexNAME, g1.ucoexNAME, g2.ucoexNAME","MATCH (group1:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(group2:UcoexGROUPS) WHERE group1 <> group2 RETURN software, COLLECT(DISTINCT [group1.ucoexNAME, group2.ucoexNAME]) AS groups","MATCH (g1:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(t:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS) WHERE g1.ucoexNAME <> g2.ucoexNAME RETURN t.ucoexNAME, collect(distinct(g1.ucoexNAME)) as actors"
