sample_id,question,hop_count,question_type,first_node,first_found,second_node,second_found,third_node,third_found,coverage_count,total_gold_nodes,coverage_ratio,coverage_percentage,key_entities_count,nodes_found,gold_nodes
11,How could Content Spoofing relate to Data Backup through its...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/148.html,Yes,http://example.com/ucoex#T1491,Yes,http://example.com/ucoex#M1053,Yes,3,3,1.0,100.00%,13,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053
12,Which factors link Content Spoofing to Data Backup through t...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/148.html,Yes,http://example.com/ucoex#T1491,Yes,http://example.com/ucoex#M1053,Yes,3,3,1.0,100.00%,13,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053
13,How does Content Spoofing map through Defacement to mitigati...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/148.html,Yes,http://example.com/ucoex#T1491,Yes,http://example.com/ucoex#M1053,Yes,3,3,1.0,100.00%,13,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053
14,What connects Content Spoofing to Data Backup when passed th...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/148.html,No,http://example.com/ucoex#T1491,No,http://example.com/ucoex#M1053,No,0,3,0.0,0.00%,11,,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053
15,How might Defacement mapping explain Data Backup’s role agai...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/148.html,Yes,http://example.com/ucoex#T1491,No,http://example.com/ucoex#M1053,No,1,3,0.3333333333333333,33.33%,3,https://capec.mitre.org/data/definitions/148.html,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053
16,How could content spoofing lead to conditions requiring data...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,No,http://purl.org/cyber/uco#CWE-1258,No,http://example.com/ucoex#CWE-1258-CVE-2021-33080,No,0,3,0.0,0.00%,13,,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080
17,Which conditions link content spoofing to the real-world SSD...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,Yes,http://purl.org/cyber/uco#CWE-1258,Yes,http://example.com/ucoex#CWE-1258-CVE-2021-33080,Yes,3,3,1.0,100.00%,14,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080
18,How does content spoofing relate to weaknesses demonstrated ...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,Yes,http://purl.org/cyber/uco#CWE-1258,Yes,http://example.com/ucoex#CWE-1258-CVE-2021-33080,Yes,3,3,1.0,100.00%,16,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080
19,Which weakness in content spoofing links to the SSD debug in...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,No,http://purl.org/cyber/uco#CWE-1258,No,http://example.com/ucoex#CWE-1258-CVE-2021-33080,No,0,3,0.0,0.00%,4,,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080
20,How does the cache-lifting pattern connect to exposure seen ...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,Yes,http://purl.org/cyber/uco#CWE-1258,Yes,http://example.com/ucoex#CWE-1258-CVE-2021-33080,Yes,3,3,1.0,100.00%,14,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1258; http://example.com/ucoex#CWE-1258-CVE-2021-33080
21,How could WebView Exposure lead to conditions seen in the su...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/503.html,No,http://purl.org/cyber/uco#CWE-284,No,http://example.com/ucoex#CWE-284-CVE-2022-23607,No,0,3,0.0,0.00%,5,,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284; http://example.com/ucoex#CWE-284-CVE-2022-23607
22,Which factors connect WebView Exposure to the supercookie vu...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/503.html,Yes,http://purl.org/cyber/uco#CWE-284,Yes,http://example.com/ucoex#CWE-284-CVE-2022-23607,No,2,3,0.6666666666666666,66.67%,8,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284; http://example.com/ucoex#CWE-284-CVE-2022-23607
23,How might WebView Exposure contribute to access control fail...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/503.html,Yes,http://purl.org/cyber/uco#CWE-284,Yes,http://example.com/ucoex#CWE-284-CVE-2022-23607,No,2,3,0.6666666666666666,66.67%,7,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284; http://example.com/ucoex#CWE-284-CVE-2022-23607
24,Which pathway links WebView Exposure to the cookie leakage d...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/503.html,No,http://purl.org/cyber/uco#CWE-284,No,http://example.com/ucoex#CWE-284-CVE-2022-23607,No,0,3,0.0,0.00%,6,,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284; http://example.com/ucoex#CWE-284-CVE-2022-23607
25,How does WebView Exposure relate to the supercookie behavior...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/503.html,Yes,http://purl.org/cyber/uco#CWE-284,Yes,http://example.com/ucoex#CWE-284-CVE-2022-23607,No,2,3,0.6666666666666666,66.67%,4,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284,https://capec.mitre.org/data/definitions/503.html; http://purl.org/cyber/uco#CWE-284; http://example.com/ucoex#CWE-284-CVE-2022-23607
26,How could BlueSmacking attacks lead to file descriptor exhau...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,No,http://example.com/ucoex#CWE-404-CVE-2002-1372,No,0,3,0.0,0.00%,6,,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-2002-1372
27,What resource management failures connect Bluetooth flooding...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,No,http://example.com/ucoex#CWE-404-CVE-2002-1372,No,0,3,0.0,0.00%,16,,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-2002-1372
28,How does Bluetooth DoS relate to unchecked file operation vu...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,No,http://example.com/ucoex#CWE-404-CVE-2002-1372,No,0,3,0.0,0.00%,5,,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-2002-1372
29,How could BlueSmacking attacks relate to named pipe connecti...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,No,http://example.com/ucoex#CWE-404-CVE-1999-1127,No,0,3,0.0,0.00%,12,,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-1999-1127
30,What resource release failures connect Bluetooth flooding to...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,No,http://example.com/ucoex#CWE-404-CVE-1999-1127,No,0,3,0.0,0.00%,11,,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-1999-1127
31,How does Bluetooth DoS relate to malformed data pipe failure...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,Yes,http://example.com/ucoex#CWE-404-CVE-1999-1127,Yes,2,3,0.6666666666666666,66.67%,5,http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-1999-1127,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-1999-1127
32,How could BlueSmacking attacks relate to socket exhaustion v...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,No,http://example.com/ucoex#CWE-404-CVE-2001-0830,No,0,3,0.0,0.00%,5,,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-2001-0830
33,What resource cleanup failures connect Bluetooth flooding to...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/666.html,Yes,http://purl.org/cyber/uco#CWE-404,Yes,http://example.com/ucoex#CWE-404-CVE-2001-0830,No,2,3,0.6666666666666666,66.67%,11,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-2001-0830
34,How does Bluetooth DoS relate to repeated connection socket ...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/666.html,No,http://purl.org/cyber/uco#CWE-404,No,http://example.com/ucoex#CWE-404-CVE-2001-0830,No,0,3,0.0,0.00%,4,,https://capec.mitre.org/data/definitions/666.html; http://purl.org/cyber/uco#CWE-404; http://example.com/ucoex#CWE-404-CVE-2001-0830
35,How could error page XSS exploitation enable targeted parame...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/198.html,Yes,http://purl.org/cyber/uco#CWE-81,Yes,http://example.com/ucoex#CWE-81-CVE-2002-1700,Yes,3,3,1.0,100.00%,12,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1700,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1700
36,What script neutralization failures enable XSS through malfo...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/198.html,No,http://purl.org/cyber/uco#CWE-81,No,http://example.com/ucoex#CWE-81-CVE-2002-1700,No,0,3,0.0,0.00%,5,,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1700
37,How does malformed request XSS connect to targeted parameter...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/198.html,No,http://purl.org/cyber/uco#CWE-81,Yes,http://example.com/ucoex#CWE-81-CVE-2002-1700,Yes,2,3,0.6666666666666666,66.67%,5,http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1700,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1700
38,How could error page XSS exploitation enable Host header att...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/198.html,Yes,http://purl.org/cyber/uco#CWE-81,Yes,http://example.com/ucoex#CWE-81-CVE-2002-0840,Yes,3,3,1.0,100.00%,11,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-0840,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-0840
39,What script neutralization failures enable XSS through malfo...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/198.html,No,http://purl.org/cyber/uco#CWE-81,No,http://example.com/ucoex#CWE-81-CVE-2002-0840,No,0,3,0.0,0.00%,4,,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-0840
40,How does malformed request XSS connect to Host header vulner...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/198.html,No,http://purl.org/cyber/uco#CWE-81,No,http://example.com/ucoex#CWE-81-CVE-2002-0840,No,0,3,0.0,0.00%,4,,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-0840
41,How could error page XSS exploitation manifest in error mess...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/198.html,No,http://purl.org/cyber/uco#CWE-81,No,http://example.com/ucoex#CWE-81-CVE-2002-1053,No,0,3,0.0,0.00%,4,,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1053
42,What script neutralization failures enable XSS through malfo...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/198.html,No,http://purl.org/cyber/uco#CWE-81,No,http://example.com/ucoex#CWE-81-CVE-2002-1053,No,0,3,0.0,0.00%,4,,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1053
43,How does malformed request XSS connect to error message vuln...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/198.html,No,http://purl.org/cyber/uco#CWE-81,No,http://example.com/ucoex#CWE-81-CVE-2002-1053,No,0,3,0.0,0.00%,5,,https://capec.mitre.org/data/definitions/198.html; http://purl.org/cyber/uco#CWE-81; http://example.com/ucoex#CWE-81-CVE-2002-1053
44,How could file extension space manipulation lead to source d...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/649.html,Yes,http://purl.org/cyber/uco#CWE-46,Yes,http://example.com/ucoex#CWE-46-CVE-2005-0622,No,2,3,0.6666666666666666,66.67%,14,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2005-0622
45,What path validation failures enable trailing space exploita...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/649.html,Yes,http://purl.org/cyber/uco#CWE-46,Yes,http://example.com/ucoex#CWE-46-CVE-2005-0622,No,2,3,0.6666666666666666,66.67%,12,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2005-0622
46,How does file extension manipulation connect to encoded spac...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/649.html,Yes,http://purl.org/cyber/uco#CWE-46,Yes,http://example.com/ucoex#CWE-46-CVE-2005-0622,No,2,3,0.6666666666666666,66.67%,13,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2005-0622
47,How could file extension space manipulation lead to source d...,2,"<s,*,o>",https://capec.mitre.org/data/definitions/649.html,Yes,http://purl.org/cyber/uco#CWE-46,Yes,http://example.com/ucoex#CWE-46-CVE-2002-1451,No,2,3,0.6666666666666666,66.67%,14,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2002-1451
48,What path validation failures enable query string source dis...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/649.html,No,http://purl.org/cyber/uco#CWE-46,No,http://example.com/ucoex#CWE-46-CVE-2002-1451,No,0,3,0.0,0.00%,6,,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2002-1451
49,How does file extension manipulation connect to query string...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/649.html,No,http://purl.org/cyber/uco#CWE-46,No,http://example.com/ucoex#CWE-46-CVE-2002-1451,No,0,3,0.0,0.00%,5,,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2002-1451
50,What enables source code exposure through trailing space pat...,2,"<s,p,*>",https://capec.mitre.org/data/definitions/649.html,Yes,http://purl.org/cyber/uco#CWE-46,Yes,http://example.com/ucoex#CWE-46-CVE-2002-1451,Yes,3,3,1.0,100.00%,7,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2002-1451,https://capec.mitre.org/data/definitions/649.html; http://purl.org/cyber/uco#CWE-46; http://example.com/ucoex#CWE-46-CVE-2002-1451
