Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion
Multi-hop Queries,What underlying weaknesses (CWEs) are associated with 'Phishing' via CAPEC patterns?,MATCH (:UcoexMITREATTACK {ucoexNAME: 'Phishing'})<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID,What weaknesses (CWEs) are related to attack patterns (CAPEC) that map to 'Phishing'?
Multi-hop Queries,What D3FEND countermeasures are recommended for TTPs used by the Lazarus Group?,MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND defenses counter the techniques used by the 'Lazarus Group'?
Aggregation and Counting,Count the number of distinct TTPs linked to APT28.,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(t),How many attack techniques are linked to 'APT28'?
Aggregation and Counting,Show a count of campaigns for each threat actor.,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(c) AS campaignCount",Show me a count of campaigns attributed to each threat group.
Aggregation and Counting,Calculate the average exploitability score across all CVEs.,MATCH (c:UcoCVE) RETURN avg(toInteger(c.ucoexploitabilityScore)),What is the average exploitability score for all CVEs?
Aggregation and Counting,How many unique tools are tracked across all threat actor toolkits?,MATCH (:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN count(DISTINCT s),How many unique software tools are used by all groups combined?
Aggregation and Counting,What is the highest impact score listed for any CVE?,MATCH (c:UcoCVE) RETURN max(toInteger(c.ucoimpactScore)),What is the highest impact score of any CVE in the database?
Aggregation and Counting,Count the related CWEs for each CAPEC attack pattern.,"MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN capec.ucoexCAPEC_name, count(cwe) AS weaknessCount",How many related weaknesses (CWEs) does each CAPEC attack pattern have?
Aggregation and Counting,What is the total count of vulnerability records?,MATCH (v:UcoVulnerability) RETURN count(v),What is the total number of vulnerabilities in the database?
Aggregation and Counting,Show how many TTPs each mitigation addresses.,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount",Show the count of techniques that each mitigation addresses.
Aggregation and Counting,How many total 'in-the-wild' examples are recorded for all weakness types?,MATCH (:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN count(ex),What is the total number of observed examples for all weaknesses?
Aggregation and Counting,Count the number of campaigns known to use the 'PowerShell' TTP.,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN count(c),How many campaigns use the 'PowerShell' technique?
Conditional and Boolean Queries,Show me high-impact (score > 5) CVEs that require no user interaction to exploit.,"MATCH (c:UcoCVE) WHERE toInteger(c.ucoimpactScore) > 5 AND c.ucouserInteractionRequired = 'false' RETURN c.label, c.ucoimpactScore",Find CVEs with an impact score over 5 that don't require user interaction.
Conditional and Boolean Queries,Get all 'open-source' or 'commercial' software entries.,"MATCH (s:UcoexSOFTWARE) WHERE s.ucoexDOMAIN = 'open-source' OR s.ucoexDOMAIN = 'commercial' RETURN s.ucoexNAME, s.ucoexDOMAIN",List all software that is either 'open-source' or 'commercial'.
Conditional and Boolean Queries,List all campaigns *not* attributed to APT28.,MATCH (c:UcoexCAMPAIGNS) WHERE NOT EXISTS((c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS {ucoexNAME: 'APT28'})) RETURN c.ucoexNAME,Which campaigns are NOT attributed to 'APT28'?
Conditional and Boolean Queries,"What TTPs does Lazarus Group use, excluding 'Phishing'?",MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE t.ucoexNAME <> 'Phishing' RETURN t.ucoexNAME,"What techniques does the 'Lazarus Group' use, besides 'Phishing'?"
Conditional and Boolean Queries,Pull all 'CRITICAL' severity CVEs published since the start of 2020.,MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'CRITICAL' AND c.ucopublishedDateTime > datetime('2020-01-01T00:00:00Z') RETURN c.label,List all 'CRITICAL' CVEs published after the start of 2020.
Conditional and Boolean Queries,Which non-Russian threat actors are known to use 'Cobalt Strike'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) WHERE NOT g.ucoexDESCRIPTION CONTAINS 'Russian' RETURN g.ucoexNAME,Which non-Russian groups use 'Cobalt Strike'?
Conditional and Boolean Queries,Find vulnerabilities that allow full privilege escalation without user interaction.,MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) WHERE c.ucoobtainAllPrivilege = 'true' AND c.ucouserInteractionRequired = 'false' RETURN v.ucosummary,What vulnerability summaries describe exploits that grant full privileges without user interaction?
Conditional and Boolean Queries,Show me 'High' severity attack patterns (CAPEC) that have a 'Low' likelihood.,MATCH (c:UcoexCAPEC) WHERE c.ucoexSeverity = 'High' AND c.ucoexLikelihood = 'Low' RETURN c.ucoexCAPEC_name,"What are the names of 'High' severity, 'Low' likelihood attack patterns (CAPEC)?"
Conditional and Boolean Queries,List all mitigations *except* 'Network Segmentation'.,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexNAME <> 'Network Segmentation' RETURN m.ucoexNAME,List all mitigations except 'Network Segmentation'.
Path Queries (Variable-length),Is there any relationship at all between the SolarWinds campaign and Mimikatz?,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1,Is there any connection between the 'SolarWinds Orion Attack' and 'Mimikatz'?
Path Queries (Variable-length),What's the shortest path connecting APT28 to the PowerShell TTP?,MATCH p = shortestPath((:UcoexGROUPS {ucoexNAME: 'APT28'})-[*]-(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})) RETURN p,What's the shortest path between the 'APT28' group and the 'PowerShell' technique?
Path Queries (Variable-length),"Show all software that Lazarus Group has any outbound connection to, no matter how many hops.",MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[*]->(s:UcoexSOFTWARE) RETURN DISTINCT s.ucoexNAME,What software is reachable from the 'Lazarus Group' via any path?
Path Queries (Variable-length),Trace the attack path from any campaign that leads to the exploitation of CVE-2017-0144.,MATCH p = (:UcoexCAMPAIGNS)-[*]->(:UcoCVE {label: 'CVE-2017-0144'}) RETURN p,Show me any attack path from a campaign that leads to 'CVE-2017-0144'.
Path Queries (Variable-length),"Show me mitigations that are two hops away from FIN7 (e.g., for TTPs they use).",MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*2]->(m:UcoexMITIGATIONS) RETURN DISTINCT m.ucoexNAME,What mitigations are 2 hops away from the 'FIN7' group?
Path Queries (Variable-length),Give me the 2-hop neighborhood for CVE-2021-44228. What's directly connected to it?,"MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[*1..2]-(n) RETURN DISTINCT labels(n), n.uri, n.ucoexNAME, n.label",Find all nodes within 2 hops of 'CVE-2021-44228' and show their labels and names/IDs.
Path Queries (Variable-length),Find me some examples of threat actors and mitigations that are very distantly related (3+ hops).,"MATCH p = (g:UcoexGROUPS)-[*3..]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, m.ucoexNAME LIMIT 10",Show me 10 examples of groups and mitigations that are at least 3 hops apart.
Path Queries (Variable-length),Show me an example path connecting a campaign to a vulnerability.,MATCH p = (:UcoexCAMPAIGNS)-[*]-(:UcoVulnerability) RETURN p LIMIT 1,Find a single path that connects any campaign to any vulnerability.
Path Queries (Variable-length),"Map out all outbound connections from the WannaCry campaign, up to 4 hops deep.",MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[*1..4]->(n) RETURN p,Show all paths 1 to 4 hops long starting from the 'WannaCry Ransomware Attack'.
Graph Pattern Matching,Which threat actors are known to use both PowerShell and Phishing TTPs?,MATCH (t1:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN g.ucoexNAME,Which groups use both 'PowerShell' and 'Phishing' techniques?
Graph Pattern Matching,Show me campaigns that share tooling with APT28. List the campaign and the shared tool.,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME, s.ucoexNAME",Which campaigns use the same software as 'APT28'?
Graph Pattern Matching,"List 10 examples of [Group, TTP, Mitigation] triplets where the group uses the TTP and the mitigation defends against it.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, t.ucoexNAME, m.ucoexNAME LIMIT 10","List 10 examples of [Group, Technique, Mitigation] where the group uses the technique and the mitigation stops it."
Graph Pattern Matching,What tools are shared between two or more threat groups? Show the tool and the groups.,"MATCH (g1:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS) WHERE g1 <> g2 RETURN s.ucoexNAME, g1.ucoexNAME, g2.ucoexNAME",What software is used by at least two different groups? List the software and the groups.
Graph Pattern Matching,Which campaigns use TTPs linked to 'High' abstraction-level weaknesses (CWEs)?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE {ucoabstraction: 'High'}) RETURN c.ucoexNAME,Which campaigns use techniques linked to 'High' abstraction weaknesses (CWEs)?
Graph Pattern Matching,Show me 10 examples of campaigns that share TTPs. List both campaigns and the shared TTP.,"MATCH (c1:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c2:UcoexCAMPAIGNS) WHERE id(c1) < id(c2) RETURN c1.ucoexNAME, t.ucoexNAME, c2.ucoexNAME LIMIT 10",Show me 10 examples of campaigns that share the same attack technique.
Graph Pattern Matching,Which threat actors use TTPs that are linked (via CAPEC/CWE) to 'CRITICAL' severity CVEs?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME,Which groups use techniques that trace back to 'CRITICAL' severity CVEs?
Graph Pattern Matching,Show me CVEs that affect known products (have a CPE) AND are linked to a weakness (CWE) that has been seen in the wild.,"MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(:UcoexCPE), (cve)<-[:UCOHASCVE_ID]-(:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(:UcoexObservedExample) RETURN DISTINCT cve.label",Find CVEs that are tied to a product (CPE) AND are linked to a weakness (CWE) with a known real-world example.
Graph Pattern Matching,"Show me 10 examples where a campaign and a software tool use the same TTP. List the campaign, TTP, and tool.","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN c.ucoexNAME, t.ucoexNAME, s.ucoexNAME LIMIT 10","List 10 examples of a campaign, a technique, and a software, where both the campaign and software use that same technique."
Graph Pattern Matching,"List all [Actor, Tool] pairs, but exclude any entries where the tool is 'PowerShell'.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'PowerShell' RETURN g.ucoexNAME, s.ucoexNAME","List all [Group, Software] pairs, but exclude any where the software is 'PowerShell'."
Comparative and Ranking,Show me CVEs where the exploitability score is greater than the impact score.,"MATCH (c:UcoCVE) WHERE toInteger(c.ucoexploitabilityScore) > toInteger(c.ucoimpactScore) RETURN c.label, c.ucoexploitabilityScore, c.ucoimpactScore",Which CVEs are easier to exploit than their impact? (Exploitability > Impact)
Comparative and Ranking,What are the top 3 tools most frequently used in campaigns?,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME, count(c) AS campaignUsage ORDER BY campaignUsage DESC LIMIT 3",What are the top 3 software tools most used in attack campaigns?
Comparative and Ranking,Rank all threat actors by the size of their known toolkit (number of distinct tools).,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN g.ucoexNAME, count(DISTINCT s) AS softwareCount ORDER BY softwareCount DESC",Rank threat groups by how many distinct software tools they use.
Comparative and Ranking,What's the hardest-to-exploit CVE in the database (lowest exploitability score)?,MATCH (c:UcoCVE) RETURN c.label ORDER BY toInteger(c.ucoexploitabilityScore) ASC LIMIT 1,What is the CVE with the single lowest exploitability score?
Comparative and Ranking,What are the top 10 weaknesses (CWEs) that have the most associated attack patterns (CAPEC)?,"MATCH (cwe:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(capec:UcoexCAPEC) RETURN cwe.ucocweName, count(capec) AS capecCount ORDER BY capecCount DESC LIMIT 10",What are the top 10 weaknesses (CWEs) with the most related attack patterns (CAPEC)?
Comparative and Ranking,Show me all campaigns that use more than 3 distinct TTPs.,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) WITH c, count(t) AS techCount WHERE techCount > 3 RETURN c.ucoexNAME, techCount",Which campaigns use more than 3 attack techniques?
Comparative and Ranking,"What's the single most effective mitigation (i.e., covers the most TTPs)?","MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount ORDER BY techniqueCount DESC LIMIT 1",What is the best mitigation? (The one that covers the most techniques)
Comparative and Ranking,Rank all tools by their popularity among threat actors.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME, count(g) AS groupUsage ORDER BY groupUsage DESC",Rank software tools by how many threat groups use them.
Comparative and Ranking,Which threat actor is linked to the highest number of 'CRITICAL' CVEs?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME, count(c) as criticalCVEs ORDER BY criticalCVEs DESC LIMIT 1",Which group is linked to the most 'CRITICAL' CVEs through their techniques?
Existence and Set Operations Queries,Show me all threat actors that have a description.,MATCH (g:UcoexGROUPS) WHERE g.ucoexDESCRIPTION IS NOT NULL RETURN g.ucoexNAME,Which threat groups have a description available?
Existence and Set Operations Queries,List all CVEs that are tied to a specific product (have a CPE).,MATCH (c:UcoCVE) WHERE EXISTS((c)-[:UCOEXHASCPE]->()) RETURN c.label,List all CVEs that are linked to a specific product (CPE).
Existence and Set Operations Queries,Show me all tools in the database that are not currently associated with any campaign.,MATCH (s:UcoexSOFTWARE) WHERE NOT EXISTS(()-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s)) RETURN s.ucoexNAME,What software do we have listed that isn't part of any known campaign?
Existence and Set Operations Queries,"Pull the records for these TTPs: 'Phishing', 'Spearphishing Attachment', and 'Drive-by Compromise'.","MATCH (t:UcoexMITREATTACK) WHERE t.ucoexNAME IN ['Phishing', 'Spearphishing Attachment', 'Drive-by Compromise'] RETURN t.ucoexNAME","Find all data for 'Phishing', 'Spearphishing Attachment', and 'Drive-by Compromise' techniques."
Existence and Set Operations Queries,Confirm if we are tracking 'APT28'.,OPTIONAL MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'}) RETURN g IS NOT NULL AS groupExists,Does the 'APT28' group exist in the database?
Existence and Set Operations Queries,List all threat groups that use tools *other than* 'Mimikatz'.,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'Mimikatz' RETURN DISTINCT g.ucoexNAME,"Which groups use software, but specifically not 'Mimikatz'?"
Existence and Set Operations Queries,Show me all TTPs that are missing a CAPEC mapping.,MATCH (t:UcoexMITREATTACK) WHERE NOT EXISTS((t)<-[:UCOEXHASTAXONOMYMAPPING]-()) RETURN t.ucoexNAME,Which attack techniques are not mapped to any CAPEC attack pattern?
Existence and Set Operations Queries,Which campaigns share TTPs with APT28?,MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WITH collect(t) as apt28Techniques MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t2) WHERE t2 in apt28Techniques RETURN DISTINCT c.ucoexNAME,Which campaigns use any of the same techniques as 'APT28'?
Existence and Set Operations Queries,Are there any campaigns where both Cobalt Strike and Mimikatz were used?,MATCH (s1:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s2:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN count(c) > 0 THEN true ELSE false END AS usesBoth,Is there any campaign that uses both 'Cobalt Strike' and 'Mimikatz'?
