sample_id,question,hop_count,question_type,first_node,first_found,second_node,second_found,third_node,third_found,coverage_count,total_gold_nodes,recall,precision,f1,hit_at_1,hit_at_3,reciprocal_rank,key_entities_count,num_sources,nodes_found,gold_nodes
51,How could Collect Data as Provided by Users align with behav...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/569.html,Yes,http://example.com/ucoex#T1056,Yes,,No,2,2,1.0000,0.0833,0.1538,1,1,1.0000,24,3,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
52,Which factors connect Collect Data as Provided by Users to I...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/569.html,Yes,http://example.com/ucoex#T1056,Yes,,No,2,2,1.0000,0.0833,0.1538,1,1,1.0000,24,3,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
53,How might Collect Data as Provided by Users enable methods s...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/569.html,Yes,http://example.com/ucoex#T1056,Yes,,No,2,2,1.0000,0.0500,0.0952,1,1,1.0000,40,3,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
54,Which aspects of Collect Data as Provided by Users map direc...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/569.html,Yes,http://example.com/ucoex#T1056,Yes,,No,2,2,1.0000,0.1333,0.2353,1,1,1.0000,15,3,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
55,How could attackers extend Collect Data as Provided by Users...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/569.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,9,3,,https://capec.mitre.org/data/definitions/569.html
56,How could Improper Restriction of Rendered UI Layers enable ...,1,"<s,*,o>",http://purl.org/cyber/uco#CWE-1021,Yes,http://example.com/ucoex#CWE-1021-CVE-2016-2496,No,,No,1,2,0.5000,0.0909,0.1538,0,0,0.0000,11,3,http://purl.org/cyber/uco#CWE-1021,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
57,What factors connect Improper Restriction of Rendered UI Lay...,1,"<s,*,o>",http://purl.org/cyber/uco#CWE-1021,Yes,http://example.com/ucoex#CWE-1021-CVE-2016-2496,Yes,,No,2,2,1.0000,0.1818,0.3077,0,0,0.0000,11,3,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
58,How might UI layer misrestriction enable attacks similar to ...,1,"<s,*,o>",http://purl.org/cyber/uco#CWE-1021,No,http://example.com/ucoex#CWE-1021-CVE-2016-2496,No,,No,0,2,0.0000,0.0000,0.0000,0,0,0.0000,8,3,,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
59,Which aspects of Improper Restriction of Rendered UI Layers ...,1,"<s,p,o>",http://purl.org/cyber/uco#CWE-1021,Yes,http://example.com/ucoex#CWE-1021-CVE-2016-2496,Yes,,No,2,2,1.0000,0.1667,0.2857,0,0,0.0000,12,3,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
60,How could attackers extend UI-layer misrestriction weaknesse...,1,"<s,p,*>",http://purl.org/cyber/uco#CWE-1021,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,7,3,,http://purl.org/cyber/uco#CWE-1021
61,How could NDiskMonitor’s behavior relate to techniques used ...,1,"<s,*,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,No,,No,0,2,0.0000,0.0000,0.0000,0,0,0.0000,34,3,,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
62,Which factors connect NDiskMonitor’s capabilities to System ...,1,"<s,*,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,No,,No,0,2,0.0000,0.0000,0.0000,0,0,0.0000,34,3,,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
63,How might NDiskMonitor leverage System Information Discovery...,1,"<s,*,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,No,,No,0,2,0.0000,0.0000,0.0000,0,0,0.0000,43,3,,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
64,Which behaviors in NDiskMonitor most strongly correspond to ...,1,"<s,p,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,Yes,,No,1,2,0.5000,0.0263,0.0500,0,0,0.0000,38,3,http://example.com/ucoex#T1082,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
65,How could attackers adapt NDiskMonitor’s use of System Infor...,1,"<s,p,*>",http://example.com/ucoex#S0272,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,27,3,,http://example.com/ucoex#S0272
66,How could Orangeworm’s operations leverage Web Protocols to ...,1,"<s,*,o>",http://example.com/ucoex#G0071,Yes,http://example.com/ucoex#T1071.001,Yes,,No,2,2,1.0000,0.0370,0.0714,1,1,1.0000,54,3,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
67,Which factors connect Orangeworm’s campaigns with use of Web...,1,"<s,*,o>",http://example.com/ucoex#G0071,Yes,http://example.com/ucoex#T1071.001,Yes,,No,2,2,1.0000,0.0588,0.1111,1,1,1.0000,34,3,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
68,How might Orangeworm exploit Web Protocols to blend maliciou...,1,"<s,*,o>",http://example.com/ucoex#G0071,Yes,http://example.com/ucoex#T1071.001,Yes,,No,2,2,1.0000,0.0714,0.1333,1,1,1.0000,28,3,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
69,What aspects of Orangeworm activity align with behaviors in ...,1,"<s,p,o>",http://example.com/ucoex#G0071,Yes,http://example.com/ucoex#T1071.001,Yes,,No,2,2,1.0000,0.0541,0.1026,1,1,1.0000,37,3,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
70,How could Orangeworm evolve its use of Web Protocols for gre...,1,"<s,p,*>",http://example.com/ucoex#G0071,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,28,3,,http://example.com/ucoex#G0071
71,How could KV Botnet Activity lead to impacts mitigated by Da...,2,"<s,*,o>",http://example.com/ucoex#C0035,Yes,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,1,3,0.3333,0.0385,0.0690,0,1,0.5000,26,3,http://example.com/ucoex#C0035,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
72,Which factors connect KV Botnet Activity to mitigations like...,2,"<s,*,o>",http://example.com/ucoex#C0035,Yes,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,Yes,2,3,0.6667,0.0377,0.0714,1,1,1.0000,53,3,http://example.com/ucoex#C0035; http://example.com/ucoex#M1053,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
73,How does KV Botnet Activity’s tooling relate to mitigations ...,2,"<s,*,o>",http://example.com/ucoex#C0035,Yes,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,1,3,0.3333,0.0189,0.0357,1,1,1.0000,53,3,http://example.com/ucoex#C0035,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
74,What links KV Botnet Activity’s tool transfer behavior to Da...,2,"<s,*,o>",http://example.com/ucoex#C0035,Yes,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,1,3,0.3333,0.0233,0.0435,1,1,1.0000,43,3,http://example.com/ucoex#C0035,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
75,How might KV Botnet Activity’s use of Ingress Tool Transfer ...,2,"<s,*,o>",http://example.com/ucoex#C0035,Yes,http://example.com/ucoex#T1105,Yes,http://example.com/ucoex#M1053,No,2,3,0.6667,0.0345,0.0656,1,1,1.0000,58,3,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
76,How does Domain Fronting map to enterprise attack techniques...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/481.html,Yes,http://example.com/ucoex#T1090.004,Yes,,No,2,2,1.0000,0.0588,0.1111,0,0,0.0000,34,3,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004
77,Which ATT&CK techniques relate to contradictory destination ...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/481.html,Yes,http://example.com/ucoex#T1090.004,Yes,,No,2,2,1.0000,0.1333,0.2353,1,1,1.0000,15,3,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004
78,Why does traffic routing manipulation map to proxy technique...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/481.html,Yes,http://example.com/ucoex#T1090.004,Yes,,No,2,2,1.0000,0.0455,0.0870,1,1,1.0000,44,3,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004
79,How can forgotten password features become system entry poin...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/50.html,Yes,http://purl.org/cyber/uco#CWE-640,Yes,,No,2,2,1.0000,0.2222,0.3636,0,1,0.5000,9,3,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-640,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-640
80,Which authentication weakness do password recovery attacks p...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/50.html,Yes,,No,,No,1,1,1.0000,0.1111,0.2000,0,1,0.5000,9,3,https://capec.mitre.org/data/definitions/50.html,https://capec.mitre.org/data/definitions/50.html
81,What makes security questions vulnerable in password reset p...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/50.html,No,http://purl.org/cyber/uco#CWE-640,No,,No,0,2,0.0000,0.0000,0.0000,0,0,0.0000,8,3,,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-640
82,How does email redirection exploit weak password recovery im...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/50.html,No,http://purl.org/cyber/uco#CWE-640,No,,No,0,2,0.0000,0.0000,0.0000,0,0,0.0000,7,3,,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-640
83,What weaknesses enable denial of service through password re...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/50.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,12,3,,https://capec.mitre.org/data/definitions/50.html
84,How does password recovery exploitation target insecurely st...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/50.html,Yes,http://purl.org/cyber/uco#CWE-522,Yes,,No,2,2,1.0000,0.0741,0.1379,1,1,1.0000,27,3,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-522,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-522
85,What credential protection weakness enables password recover...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/50.html,Yes,,No,,No,1,1,1.0000,0.1429,0.2500,0,0,0.0000,7,3,https://capec.mitre.org/data/definitions/50.html,https://capec.mitre.org/data/definitions/50.html
86,Why do insecure credential transmissions expose password rec...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/50.html,Yes,http://purl.org/cyber/uco#CWE-522,Yes,,No,2,2,1.0000,0.0741,0.1379,1,1,1.0000,27,3,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-522,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-522
87,How does cache data lifting exploit improper register cleari...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/204.html,Yes,http://purl.org/cyber/uco#CWE-1239,Yes,,No,2,2,1.0000,0.1053,0.1905,0,1,0.3333,19,3,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1239,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1239
88,What hardware weakness enables sensitive data extraction fro...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/204.html,Yes,,No,,No,1,1,1.0000,0.0526,0.1000,1,1,1.0000,19,3,https://capec.mitre.org/data/definitions/204.html,https://capec.mitre.org/data/definitions/204.html
89,Why does incomplete register zeroization expose cached sensi...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,Yes,http://purl.org/cyber/uco#CWE-1239,Yes,,No,2,2,1.0000,0.1111,0.2000,0,0,0.0000,18,3,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1239,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1239
90,How does cache data lifting map to local system collection?,1,"<s,*,o>",https://capec.mitre.org/data/definitions/204.html,Yes,http://example.com/ucoex#T1005,Yes,,No,2,2,1.0000,0.0571,0.1081,0,1,0.5000,35,3,https://capec.mitre.org/data/definitions/204.html; http://example.com/ucoex#T1005,https://capec.mitre.org/data/definitions/204.html; http://example.com/ucoex#T1005
91,Which ATT&CK technique corresponds to sensitive cache examin...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/204.html,Yes,,No,,No,1,1,1.0000,0.0227,0.0444,1,1,1.0000,44,3,https://capec.mitre.org/data/definitions/204.html,https://capec.mitre.org/data/definitions/204.html
92,Why does cache exploitation align with local data collection...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,Yes,http://example.com/ucoex#T1005,Yes,,No,2,2,1.0000,0.1000,0.1818,0,1,0.5000,20,3,https://capec.mitre.org/data/definitions/204.html; http://example.com/ucoex#T1005,https://capec.mitre.org/data/definitions/204.html; http://example.com/ucoex#T1005
93,How does Keydnap malware use launch agents for persistence?,1,"<s,*,o>",http://example.com/ucoex#S0276,Yes,http://example.com/ucoex#T1543.001,Yes,,No,2,2,1.0000,0.0500,0.0952,0,1,0.5000,40,3,http://example.com/ucoex#S0276; http://example.com/ucoex#T1543.001,http://example.com/ucoex#S0276; http://example.com/ucoex#T1543.001
94,Which persistence technique does Keydnap malware employ for ...,1,"<s,p,*>",http://example.com/ucoex#S0276,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,41,3,,http://example.com/ucoex#S0276
