sample_id,question,hop_count,question_type,first_node,first_found,second_node,second_found,third_node,third_found,coverage_count,total_gold_nodes,recall,precision,f1,key_entities_count,num_sources,nodes_found,gold_nodes
31,Which authorization controls mitigate Collect Data from Regi...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/647.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,11,2,,https://capec.mitre.org/data/definitions/647.html
32,How does Absolute Path Traversal exploit inadequate neutrali...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-36,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://purl.org/cyber/uco#CWE-36
33,What file system risks arise from Absolute Path Traversal by...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-36,Yes,,No,,No,1,1,1.0000,0.0556,0.1053,18,2,http://purl.org/cyber/uco#CWE-36,http://purl.org/cyber/uco#CWE-36
34,Which input validation controls prevent Absolute Path Traver...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-36,No,,No,,No,0,1,0.0000,0.0000,0.0000,17,2,,http://purl.org/cyber/uco#CWE-36
35,How does Path Traversal: '../filedir' exploit inadequate neu...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-24,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://purl.org/cyber/uco#CWE-24
36,What file system risks arise from Path Traversal: '../filedi...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-24,No,,No,,No,0,1,0.0000,0.0000,0.0000,10,2,,http://purl.org/cyber/uco#CWE-24
37,Which input validation controls prevent Path Traversal: '../...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-24,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://purl.org/cyber/uco#CWE-24
38,How does APT41 combine state-sponsored espionage with financ...,0,"<s,*,*>",http://example.com/ucoex#G0096,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#G0096
39,What industries and sectors has APT41 targeted across their ...,0,"<s,*,*>",http://example.com/ucoex#G0096,No,,No,,No,0,1,0.0000,0.0000,0.0000,10,2,,http://example.com/ucoex#G0096
40,Which malware toolsets does APT41 leverage to achieve divers...,0,"<s,*,*>",http://example.com/ucoex#G0096,No,,No,,No,0,1,0.0000,0.0000,0.0000,11,2,,http://example.com/ucoex#G0096
41,How does Kimsuky leverage commercial AI models for vulnerabi...,0,"<s,*,*>",http://example.com/ucoex#G0094,No,,No,,No,0,1,0.0000,0.0000,0.0000,8,2,,http://example.com/ucoex#G0094
42,What geopolitical intelligence targets does Kimsuky prioriti...,0,"<s,*,*>",http://example.com/ucoex#G0094,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#G0094
43,Which notable campaigns has Kimsuky conducted since their em...,0,"<s,*,*>",http://example.com/ucoex#G0094,No,,No,,No,0,1,0.0000,0.0000,0.0000,4,2,,http://example.com/ucoex#G0094
44,How does Scheduled Task/Job enable adversaries to achieve pe...,0,"<s,*,*>",http://example.com/ucoex#T1053,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#T1053
45,What privilege escalation risks arise from Scheduled Task/Jo...,0,"<s,*,*>",http://example.com/ucoex#T1053,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#T1053
46,Which authentication requirements must attackers satisfy for...,0,"<s,*,*>",http://example.com/ucoex#T1053,No,,No,,No,0,1,0.0000,0.0000,0.0000,4,2,,http://example.com/ucoex#T1053
47,How does Scheduled Task/Job enable adversaries to achieve pe...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0265
48,What privilege escalation risks arise from Scheduled Task/Jo...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0265
49,Which authentication requirements must attackers satisfy for...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,4,2,,http://example.com/ucoex#S0265
50,How does Scheduled Task/Job masking malicious execution unde...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0265
51,How could Collect Data as Provided by Users align with behav...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/569.html,No,http://example.com/ucoex#T1056,No,,No,0,2,0.0000,0.0000,0.0000,8,2,,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
52,Which factors connect Collect Data as Provided by Users to I...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/569.html,No,http://example.com/ucoex#T1056,No,,No,0,2,0.0000,0.0000,0.0000,8,2,,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
53,How might Collect Data as Provided by Users enable methods s...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/569.html,No,http://example.com/ucoex#T1056,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
54,Which aspects of Collect Data as Provided by Users map direc...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/569.html,No,http://example.com/ucoex#T1056,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/569.html; http://example.com/ucoex#T1056
55,How could attackers extend Collect Data as Provided by Users...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/569.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/569.html
56,How could Improper Restriction of Rendered UI Layers enable ...,1,"<s,*,o>",http://purl.org/cyber/uco#CWE-1021,No,http://example.com/ucoex#CWE-1021-CVE-2016-2496,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
57,What factors connect Improper Restriction of Rendered UI Lay...,1,"<s,*,o>",http://purl.org/cyber/uco#CWE-1021,Yes,http://example.com/ucoex#CWE-1021-CVE-2016-2496,No,,No,1,2,0.5000,0.0833,0.1429,12,2,http://purl.org/cyber/uco#CWE-1021,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
58,How might UI layer misrestriction enable attacks similar to ...,1,"<s,*,o>",http://purl.org/cyber/uco#CWE-1021,Yes,http://example.com/ucoex#CWE-1021-CVE-2016-2496,No,,No,1,2,0.5000,0.0833,0.1429,12,2,http://purl.org/cyber/uco#CWE-1021,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
59,Which aspects of Improper Restriction of Rendered UI Layers ...,1,"<s,p,o>",http://purl.org/cyber/uco#CWE-1021,No,http://example.com/ucoex#CWE-1021-CVE-2016-2496,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://purl.org/cyber/uco#CWE-1021; http://example.com/ucoex#CWE-1021-CVE-2016-2496
60,How could attackers extend UI-layer misrestriction weaknesse...,1,"<s,p,*>",http://purl.org/cyber/uco#CWE-1021,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://purl.org/cyber/uco#CWE-1021
61,How could NDiskMonitor’s behavior relate to techniques used ...,1,"<s,*,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
62,Which factors connect NDiskMonitor’s capabilities to System ...,1,"<s,*,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
63,How might NDiskMonitor leverage System Information Discovery...,1,"<s,*,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
64,Which behaviors in NDiskMonitor most strongly correspond to ...,1,"<s,p,o>",http://example.com/ucoex#S0272,No,http://example.com/ucoex#T1082,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0272; http://example.com/ucoex#T1082
65,How could attackers adapt NDiskMonitor’s use of System Infor...,1,"<s,p,*>",http://example.com/ucoex#S0272,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0272
66,How could Orangeworm’s operations leverage Web Protocols to ...,1,"<s,*,o>",http://example.com/ucoex#G0071,No,http://example.com/ucoex#T1071.001,No,,No,0,2,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
67,Which factors connect Orangeworm’s campaigns with use of Web...,1,"<s,*,o>",http://example.com/ucoex#G0071,No,http://example.com/ucoex#T1071.001,No,,No,0,2,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
68,How might Orangeworm exploit Web Protocols to blend maliciou...,1,"<s,*,o>",http://example.com/ucoex#G0071,No,http://example.com/ucoex#T1071.001,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
69,What aspects of Orangeworm activity align with behaviors in ...,1,"<s,p,o>",http://example.com/ucoex#G0071,No,http://example.com/ucoex#T1071.001,No,,No,0,2,0.0000,0.0000,0.0000,12,2,,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
70,How could Orangeworm evolve its use of Web Protocols for gre...,1,"<s,p,*>",http://example.com/ucoex#G0071,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#G0071
71,How could KV Botnet Activity lead to impacts mitigated by Da...,2,"<s,*,o>",http://example.com/ucoex#C0035,No,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,0,3,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
72,Which factors connect KV Botnet Activity to mitigations like...,2,"<s,*,o>",http://example.com/ucoex#C0035,No,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
73,How does KV Botnet Activity’s tooling relate to mitigations ...,2,"<s,*,o>",http://example.com/ucoex#C0035,No,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
74,What links KV Botnet Activity’s tool transfer behavior to Da...,2,"<s,*,o>",http://example.com/ucoex#C0035,No,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,0,3,0.0000,0.0000,0.0000,17,2,,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
75,How might KV Botnet Activity’s use of Ingress Tool Transfer ...,2,"<s,*,o>",http://example.com/ucoex#C0035,No,http://example.com/ucoex#T1105,No,http://example.com/ucoex#M1053,No,0,3,0.0000,0.0000,0.0000,7,2,,http://example.com/ucoex#C0035; http://example.com/ucoex#T1105; http://example.com/ucoex#M1053
76,How does Domain Fronting map to enterprise attack techniques...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/481.html,No,http://example.com/ucoex#T1090.004,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004
77,Which ATT&CK techniques relate to contradictory destination ...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/481.html,No,http://example.com/ucoex#T1090.004,No,,No,0,2,0.0000,0.0000,0.0000,11,2,,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004
78,Why does traffic routing manipulation map to proxy technique...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/481.html,No,http://example.com/ucoex#T1090.004,No,,No,0,2,0.0000,0.0000,0.0000,5,2,,https://capec.mitre.org/data/definitions/481.html; http://example.com/ucoex#T1090.004
79,How can forgotten password features become system entry poin...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/50.html,No,http://purl.org/cyber/uco#CWE-640,No,,No,0,2,0.0000,0.0000,0.0000,5,2,,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-640
80,Which authentication weakness do password recovery attacks p...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/50.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,11,2,,https://capec.mitre.org/data/definitions/50.html
81,What makes security questions vulnerable in password reset p...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/50.html,No,http://purl.org/cyber/uco#CWE-640,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-640
82,How does email redirection exploit weak password recovery im...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/50.html,No,http://purl.org/cyber/uco#CWE-640,No,,No,0,2,0.0000,0.0000,0.0000,12,2,,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-640
83,What weaknesses enable denial of service through password re...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/50.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,7,2,,https://capec.mitre.org/data/definitions/50.html
84,How does password recovery exploitation target insecurely st...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/50.html,No,http://purl.org/cyber/uco#CWE-522,No,,No,0,2,0.0000,0.0000,0.0000,12,2,,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-522
85,What credential protection weakness enables password recover...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/50.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,12,2,,https://capec.mitre.org/data/definitions/50.html
86,Why do insecure credential transmissions expose password rec...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/50.html,No,http://purl.org/cyber/uco#CWE-522,No,,No,0,2,0.0000,0.0000,0.0000,5,2,,https://capec.mitre.org/data/definitions/50.html; http://purl.org/cyber/uco#CWE-522
87,How does cache data lifting exploit improper register cleari...,1,"<s,*,o>",https://capec.mitre.org/data/definitions/204.html,No,http://purl.org/cyber/uco#CWE-1239,No,,No,0,2,0.0000,0.0000,0.0000,7,2,,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1239
88,What hardware weakness enables sensitive data extraction fro...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/204.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,7,2,,https://capec.mitre.org/data/definitions/204.html
89,Why does incomplete register zeroization expose cached sensi...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,No,http://purl.org/cyber/uco#CWE-1239,No,,No,0,2,0.0000,0.0000,0.0000,5,2,,https://capec.mitre.org/data/definitions/204.html; http://purl.org/cyber/uco#CWE-1239
90,How does cache data lifting map to local system collection?,1,"<s,*,o>",https://capec.mitre.org/data/definitions/204.html,No,http://example.com/ucoex#T1005,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/204.html; http://example.com/ucoex#T1005
91,Which ATT&CK technique corresponds to sensitive cache examin...,1,"<s,p,*>",https://capec.mitre.org/data/definitions/204.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,12,2,,https://capec.mitre.org/data/definitions/204.html
92,Why does cache exploitation align with local data collection...,1,"<s,p,o>",https://capec.mitre.org/data/definitions/204.html,No,http://example.com/ucoex#T1005,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/204.html; http://example.com/ucoex#T1005
93,How does Keydnap malware use launch agents for persistence?,1,"<s,*,o>",http://example.com/ucoex#S0276,No,http://example.com/ucoex#T1543.001,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0276; http://example.com/ucoex#T1543.001
94,Which persistence technique does Keydnap malware employ for ...,1,"<s,p,*>",http://example.com/ucoex#S0276,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0276
95,Why do keychain-stealing tools leverage launch agent modific...,1,"<s,p,o>",http://example.com/ucoex#S0276,No,http://example.com/ucoex#T1543.001,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S0276; http://example.com/ucoex#T1543.001
96,How does Orangeworm use web protocols to avoid detection?,1,"<s,*,o>",http://example.com/ucoex#G0071,No,http://example.com/ucoex#T1071.001,No,,No,0,2,0.0000,0.0000,0.0000,8,2,,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
97,Which communication technique does Orangeworm employ for com...,1,"<s,p,*>",http://example.com/ucoex#G0071,No,,No,,No,0,1,0.0000,0.0000,0.0000,9,2,,http://example.com/ucoex#G0071
98,Why do healthcare-targeting threat groups leverage web proto...,1,"<s,p,o>",http://example.com/ucoex#G0071,No,http://example.com/ucoex#T1071.001,No,,No,0,2,0.0000,0.0000,0.0000,4,2,,http://example.com/ucoex#G0071; http://example.com/ucoex#T1071.001
99,How does KV Botnet Activity use non-application protocols fo...,1,"<s,*,o>",http://example.com/ucoex#C0035,No,http://example.com/ucoex#T1095,No,,No,0,2,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#C0035; http://example.com/ucoex#T1095
100,Which communication technique does KV Botnet employ for infr...,1,"<s,p,*>",http://example.com/ucoex#C0035,No,,No,,No,0,1,0.0000,0.0000,0.0000,8,2,,http://example.com/ucoex#C0035
101,Why do critical infrastructure botnets leverage less-monitor...,1,"<s,p,o>",http://example.com/ucoex#C0035,No,http://example.com/ucoex#T1095,No,,No,0,2,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0035; http://example.com/ucoex#T1095
102,How could Indian Critical Infrastructure Intrusions enable C...,2,"<s,*,o>",http://example.com/ucoex#C0043,No,http://example.com/ucoex#T1599,No,http://example.com/ucoex#M1043,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
103,Which factors link Indian Critical Infrastructure Intrusions...,2,"<s,*,o>",http://example.com/ucoex#C0043,No,http://example.com/ucoex#T1599,No,http://example.com/ucoex#M1043,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
104,How might Indian Critical Infrastructure Intrusions escalate...,2,"<s,*,o>",http://example.com/ucoex#C0043,No,http://example.com/ucoex#T1599,No,http://example.com/ucoex#M1043,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
105,What links Indian Critical Infrastructure Intrusions to Cred...,2,"<s,*,o>",http://example.com/ucoex#C0043,No,http://example.com/ucoex#T1599,No,http://example.com/ucoex#M1043,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
106,How does Indian Critical Infrastructure Intrusions relate to...,2,"<s,*,o>",http://example.com/ucoex#C0043,No,http://example.com/ucoex#T1599,No,http://example.com/ucoex#M1043,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
107,How could BUSHWALK’s use of Traffic Signaling inform additio...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,No,0,3,0.0000,0.0000,0.0000,10,2,,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
108,Which defensive gaps emerge when BUSHWALK leverages Traffic ...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
109,How might BUSHWALK’s traffic-signaling behavior bypass or st...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,No,0,3,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
110,Which network-filtering measures most directly counter BUSHW...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,No,0,3,0.0000,0.0000,0.0000,10,2,,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
111,How could insights from BUSHWALK’s signaling technique impro...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,No,0,3,0.0000,0.0000,0.0000,10,2,,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
112,How could Content Spoofing relate to Data Backup through its...,2,"<s,p,o>",https://capec.mitre.org/data/definitions/148.html,No,http://example.com/ucoex#T1491,No,http://example.com/ucoex#M1053,No,0,3,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/148.html; http://example.com/ucoex#T1491; http://example.com/ucoex#M1053
