Category,NaturalLanguageQuestion,CypherQuery,generated_question,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Relationship Traversal Queries,What defenses (D3FEND) stop the 'T1003' technique?,MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexNAME: 'T1003'}) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND countermeasures are related to the attack technique 'T1003'?,"[""UcoexMITREATTACK"", ""UcoexMITRED3FEND""]","[""UCOEXHASMITREATTACK""]","[""ucoexMITRED3FEND_LABEL"", ""ucoexNAME""]",0,"[""T1003""]"
Relationship Traversal Queries,What software is vulnerable to 'CVE-2021-44228'?,MATCH (:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.cpeName,What products or platforms are affected by vulnerability 'CVE-2021-44228'?,"[""UcoCVE"", ""UcoexCPE""]","[""UCOEXHASCPE""]","[""cpeName"", ""label""]",0,"[""CVE-2021-44228""]"
Relationship Traversal Queries,Show me some examples of the 'CWE-79' weakness.,MATCH (:UcoCWE {ucocweID: 'CWE-79'})-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN ex.ucoexDESCRIPTION,Can you give me real-world examples of the weakness 'CWE-79'?,"[""UcoCWE"", ""UcoexObservedExample""]","[""UCOHASOBSERVEDEXAMPLE""]","[""ucocweID"", ""ucoexDESCRIPTION""]",0,"[""CWE-79""]"
Multi-hop Queries,Find the tools used by the hackers behind the 'SolarWinds' attack.,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software is used by the threat groups involved in the 'SolarWinds Orion Attack'?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXATTRIBUTEDTO"", ""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",0,"[""SolarWinds Orion Attack""]"
Multi-hop Queries,What specific vulnerabilities did the 'WannaCry' attack use?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN cve.label,What are the specific CVE vulnerabilities exploited in the 'WannaCry' campaign?,"[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexCAMPAIGNS"", ""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE"", ""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING"", ""UCOHASCVE_ID"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""label"", ""ucoexNAME""]",0,"[""WannaCry Ransomware Attack""]"
Multi-hop Queries,What attackers are stopped by 'Network Segmentation'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'}) RETURN g.ucoexNAME,Which threat groups use attack techniques that 'Network Segmentation' can stop?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXMITIGATES""]","[""ucoexNAME""]",0,"[""Network Segmentation""]"
Multi-hop Queries,What attack methods does 'APT28' use and what patterns do they follow?,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC) RETURN t.ucoexNAME, c.ucoexCAPEC_name","What attack techniques does 'APT28' use, and what common attack patterns (CAPECs) are they related to?","[""UcoexCAPEC"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXHASTAXONOMYMAPPING""]","[""ucoexCAPEC_name"", ""ucoexNAME""]",0,"[""APT28""]"
Multi-hop Queries,Show me flaws related to the same weakness as 'CVE-2017-0144'.,MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN v.ucosummary,Find vulnerabilities that share a common weakness with 'CVE-2017-0144'.,"[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN"", ""UCOHASOBSERVEDEXAMPLE"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""label"", ""ucosummary""]",0,"[""CVE-2017-0144""]"
Multi-hop Queries,How do we stop the software used by 'FIN7'?,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME,How can we defend against the techniques used by the software that 'FIN7' employs?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS"", ""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE"", ""UCOEXMITIGATES"", ""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""FIN7""]"
Multi-hop Queries,What attacks use software that itself uses 'PowerShell'?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN c.ucoexNAME,Which attack campaigns rely on software that uses 'PowerShell'?,"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE"", ""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""PowerShell""]"
Multi-hop Queries,What other groups act like the 'SolarWinds' attackers?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN g.ucoexNAME,What other threat groups use the same attack techniques as those in the 'SolarWinds' campaign?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE"", ""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""SolarWinds Orion Attack""]"
Multi-hop Queries,What software flaws are linked to 'Phishing'?,MATCH (:UcoexMITREATTACK {ucoexNAME: 'Phishing'})<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID,What common weaknesses (CWEs) are associated with the 'Phishing' technique?,"[""UcoCWE"", ""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING""]","[""ucocweID"", ""ucoexNAME""]",0,"[""Phishing""]"
Multi-hop Queries,How can we defend against the 'Lazarus Group'?,MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND countermeasures can defend against the 'Lazarus Group's' techniques?,"[""UcoexGROUPS"", ""UcoexMITREATTACK"", ""UcoexMITRED3FEND""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXHASMITREATTACK""]","[""ucoexMITRED3FEND_LABEL"", ""ucoexNAME""]",0,"[""Lazarus Group""]"
Aggregation and Counting,Count the number of attack methods used by 'APT28'.,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(t),How many techniques does the 'APT28' group use?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""APT28""]"
Aggregation and Counting,How many attacks is each hacker group responsible for?,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(c) AS campaignCount",Count the campaigns attributed to each group.,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",0,[]
Aggregation and Counting,"On average, how easy is it to exploit a vulnerability?",MATCH (c:UcoCVE) RETURN avg(toInteger(c.ucoexploitabilityScore)),What is the average exploitability score for all known vulnerabilities (CVEs)?,"[""UcoCVE""]",[],"[""ucoexploitabilityScore""]",0,[]
Aggregation and Counting,How many different software tools do hacker groups use?,MATCH (:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN count(DISTINCT s),How many different pieces of software are used by all threat groups combined?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE""]",[],0,[]
Aggregation and Counting,What's the worst impact score any vulnerability has?,MATCH (c:UcoCVE) RETURN max(toInteger(c.ucoimpactScore)),What is the highest impact score found among all vulnerabilities (CVEs)?,"[""UcoCVE""]",[],"[""ucoimpactScore""]",0,[]
Aggregation and Counting,How many weaknesses are linked to each attack pattern?,"MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN capec.ucoexCAPEC_name, count(cwe) AS weaknessCount","For each attack pattern (CAPEC), count how many common weaknesses (CWEs) it relates to.","[""UcoCWE"", ""UcoexCAPEC""]","[""UCOEXHASRELATEDWEAKNESS""]","[""ucoexCAPEC_name""]",0,[]
Aggregation and Counting,How many total vulnerabilities are there?,MATCH (v:UcoVulnerability) RETURN count(v),How many vulnerabilities are in the database?,"[""UcoVulnerability""]",[],[],0,[]
Aggregation and Counting,How many attacks does each defense stop?,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount","For each mitigation, count the number of techniques it mitigates.","[""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXMITIGATES""]","[""ucoexNAME""]",0,[]
Aggregation and Counting,Count all the real-world examples of weaknesses.,MATCH (:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN count(ex),What is the total number of real-world examples for all common weaknesses?,"[""UcoCWE"", ""UcoexObservedExample""]","[""UCOHASOBSERVEDEXAMPLE""]",[],0,[]
Aggregation and Counting,How many attacks use 'PowerShell'?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN count(c),How many campaigns use the 'PowerShell' technique?,"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""PowerShell""]"
Conditional and Boolean Queries,List high-impact (over 5) flaws that can be exploited automatically.,"MATCH (c:UcoCVE) WHERE toInteger(c.ucoimpactScore) > 5 AND c.ucouserInteractionRequired = 'false' RETURN c.label, c.ucoimpactScore",Show me vulnerabilities (CVEs) with an impact score over 5 that don't require user interaction.,"[""UcoCVE""]",[],"[""label"", ""ucoimpactScore"", ""ucouserInteractionRequired""]",0,"[""5"", ""false""]"
Conditional and Boolean Queries,Show me all software and tell me if it's 'open-source' or 'commercial'.,"MATCH (s:UcoexSOFTWARE) WHERE s.ucoexDOMAIN = 'open-source' OR s.ucoexDOMAIN = 'commercial' RETURN s.ucoexNAME, s.ucoexDOMAIN","List all software, noting if it is 'open-source' or 'commercial'.","[""UcoexSOFTWARE""]",[],"[""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""commercial"", ""open-source""]"
Conditional and Boolean Queries,Which campaigns *aren't* linked to 'APT28'?,MATCH (c:UcoexCAMPAIGNS) WHERE NOT EXISTS((c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS {ucoexNAME: 'APT28'})) RETURN c.ucoexNAME,Find the names of campaigns that are not attributed to the 'APT28' group.,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",0,"[""APT28""]"
Conditional and Boolean Queries,"What methods does the 'Lazarus Group' use, besides 'Phishing'?",MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE t.ucoexNAME <> 'Phishing' RETURN t.ucoexNAME,"What techniques, other than 'Phishing', are used by the 'Lazarus Group'?","[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""Lazarus Group"", ""Phishing""]"
Conditional and Boolean Queries,What are the recent (since 2020) 'CRITICAL' vulnerabilities?,MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'CRITICAL' AND c.ucopublishedDateTime > datetime('2020-01-01T00:00:00Z') RETURN c.label,List all 'CRITICAL' severity vulnerabilities (CVEs) published after the start of 2020.,"[""UcoCVE""]",[],"[""label"", ""ucobaseSeverity"", ""ucopublishedDateTime""]",0,"[""2020-01-01T00:00:00Z"", ""CRITICAL""]"
Conditional and Boolean Queries,Which non-Russian groups use 'Cobalt Strike'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) WHERE NOT g.ucoexDESCRIPTION CONTAINS 'Russian' RETURN g.ucoexNAME,Find groups that use 'Cobalt Strike' and whose description does not contain the word 'Russian'.,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE""]","[""ucoexDESCRIPTION"", ""ucoexNAME""]",0,"[""Cobalt Strike"", ""Russian""]"
Conditional and Boolean Queries,Find flaws that give an attacker 'god mode' (all privileges) and don't require a user to click anything.,MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) WHERE c.ucoobtainAllPrivilege = 'true' AND c.ucouserInteractionRequired = 'false' RETURN v.ucosummary,What vulnerabilities allow an attacker to get full privileges without needing any user interaction?,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""ucoobtainAllPrivilege"", ""ucosummary"", ""ucouserInteractionRequired""]",0,"[""false"", ""true""]"
Conditional and Boolean Queries,Show me attack patterns that are severe but not likely to happen.,MATCH (c:UcoexCAPEC) WHERE c.ucoexSeverity = 'High' AND c.ucoexLikelihood = 'Low' RETURN c.ucoexCAPEC_name,What attack patterns (CAPECs) are 'High' severity but have a 'Low' likelihood of being exploited?,"[""UcoexCAPEC""]",[],"[""ucoexCAPEC_name"", ""ucoexLikelihood"", ""ucoexSeverity""]",0,"[""High"", ""Low""]"
Conditional and Boolean Queries,List every mitigation except for 'Network Segmentation'.,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexNAME <> 'Network Segmentation' RETURN m.ucoexNAME,List the names of all mitigations except 'Network Segmentation'.,"[""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",0,"[""Network Segmentation""]"
Path Queries (Variable-length),Show me attack methods that are connected to the 'FIN7' group.,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*1..3]->(t:UcoexMITREATTACK) RETURN DISTINCT t.ucoexNAME,What attack techniques are closely related (within 3 steps) to the 'FIN7' group?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]",[],"[""ucoexNAME""]",0,"[""FIN7""]"
Path Queries (Variable-length),Are the 'SolarWinds' attack and 'Mimikatz' tool related?,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1,Is the 'SolarWinds' campaign connected in any way to the 'Mimikatz' software?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",0,"[""0"", ""Mimikatz"", ""SolarWinds Orion Attack"", ""false"", ""true""]"
Path Queries (Variable-length),How is the 'APT28' group linked to 'PowerShell'?,MATCH p = shortestPath((:UcoexGROUPS {ucoexNAME: 'APT28'})-[*]-(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})) RETURN p,What is the most direct connection between the 'APT28' group and the 'PowerShell' technique?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]",[],"[""ucoexNAME""]",0,"[""APT28"", ""PowerShell""]"
Path Queries (Variable-length),What tools does the 'Lazarus Group' use?,MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[*]->(s:UcoexSOFTWARE) RETURN DISTINCT s.ucoexNAME,What software is linked to the 'Lazarus Group'?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",0,"[""Lazarus Group""]"
Path Queries (Variable-length),How does a cyber attack lead to the 'CVE-2017-0144' vulnerability?,MATCH p = (:UcoexCAMPAIGNS)-[*]->(:UcoCVE {label: 'CVE-2017-0144'}) RETURN p,Can you show me a connection between an attack campaign and the vulnerability 'CVE-2017-0144'?,"[""UcoCVE"", ""UcoexCAMPAIGNS""]",[],"[""label""]",0,"[""CVE-2017-0144""]"
Path Queries (Variable-length),What defenses are connected to the 'FIN7' group's methods?,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*2]->(m:UcoexMITIGATIONS) RETURN DISTINCT m.ucoexNAME,What mitigations are indirectly (2 steps) related to the 'FIN7' group?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",0,"[""FIN7""]"
Path Queries (Variable-length),Show me everything related to the 'CVE-2021-44228' vulnerability.,"MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[*1..2]-(n) RETURN DISTINCT labels(n), n.uri, n.ucoexNAME, n.label",What is closely related (within 2 steps) to the vulnerability 'CVE-2021-44228'?,"[""UcoCVE""]",[],"[""label"", ""ucoexNAME"", ""uri""]",0,"[""CVE-2021-44228""]"
Path Queries (Variable-length),Show me some hacker groups and defenses that are not directly linked.,"MATCH p = (g:UcoexGROUPS)-[*3..]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, m.ucoexNAME LIMIT 10",Can you show me examples of groups and mitigations that are *not* closely related (3 or more steps apart)?,"[""UcoexGROUPS"", ""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",0,[]
Path Queries (Variable-length),Can you connect an attack campaign to a specific flaw?,MATCH p = (:UcoexCAMPAIGNS)-[*]-(:UcoVulnerability) RETURN p LIMIT 1,Show me an example of how an attack campaign is linked to a vulnerability.,"[""UcoVulnerability"", ""UcoexCAMPAIGNS""]",[],[],0,[]
Path Queries (Variable-length),Show me a map of everything associated with the 'WannaCry' attack.,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[*1..4]->(n) RETURN p,"What are all the things connected to the 'WannaCry' campaign, up to 4 steps away?","[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",0,"[""WannaCry Ransomware Attack""]"
Graph Pattern Matching,What hackers use 'PowerShell' and 'Phishing' together?,MATCH (t1:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN g.ucoexNAME,Which threat groups use both 'PowerShell' and 'Phishing'?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""Phishing"", ""PowerShell""]"
