Category,NaturalLanguageQuestion,CypherQuery,generated_question
Aggregation and Counting,How many attacks use 'PowerShell'?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN count(c),How many campaigns use the 'PowerShell' technique?
Conditional and Boolean Queries,List high-impact (over 5) flaws that can be exploited automatically.,"MATCH (c:UcoCVE) WHERE toInteger(c.ucoimpactScore) > 5 AND c.ucouserInteractionRequired = 'false' RETURN c.label, c.ucoimpactScore",Show me vulnerabilities (CVEs) with an impact score over 5 that don't require user interaction.
Conditional and Boolean Queries,Show me all software and tell me if it's 'open-source' or 'commercial'.,"MATCH (s:UcoexSOFTWARE) WHERE s.ucoexDOMAIN = 'open-source' OR s.ucoexDOMAIN = 'commercial' RETURN s.ucoexNAME, s.ucoexDOMAIN","List all software, noting if it is 'open-source' or 'commercial'."
Conditional and Boolean Queries,Which campaigns *aren't* linked to 'APT28'?,MATCH (c:UcoexCAMPAIGNS) WHERE NOT EXISTS((c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS {ucoexNAME: 'APT28'})) RETURN c.ucoexNAME,Find the names of campaigns that are not attributed to the 'APT28' group.
Conditional and Boolean Queries,"What methods does the 'Lazarus Group' use, besides 'Phishing'?",MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE t.ucoexNAME <> 'Phishing' RETURN t.ucoexNAME,"What techniques, other than 'Phishing', are used by the 'Lazarus Group'?"
Conditional and Boolean Queries,What are the recent (since 2020) 'CRITICAL' vulnerabilities?,MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'CRITICAL' AND c.ucopublishedDateTime > datetime('2020-01-01T00:00:00Z') RETURN c.label,List all 'CRITICAL' severity vulnerabilities (CVEs) published after the start of 2020.
Conditional and Boolean Queries,Which non-Russian groups use 'Cobalt Strike'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) WHERE NOT g.ucoexDESCRIPTION CONTAINS 'Russian' RETURN g.ucoexNAME,Find groups that use 'Cobalt Strike' and whose description does not contain the word 'Russian'.
Conditional and Boolean Queries,Find flaws that give an attacker 'god mode' (all privileges) and don't require a user to click anything.,MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) WHERE c.ucoobtainAllPrivilege = 'true' AND c.ucouserInteractionRequired = 'false' RETURN v.ucosummary,What vulnerabilities allow an attacker to get full privileges without needing any user interaction?
Conditional and Boolean Queries,Show me attack patterns that are severe but not likely to happen.,MATCH (c:UcoexCAPEC) WHERE c.ucoexSeverity = 'High' AND c.ucoexLikelihood = 'Low' RETURN c.ucoexCAPEC_name,What attack patterns (CAPECs) are 'High' severity but have a 'Low' likelihood of being exploited?
Conditional and Boolean Queries,List every mitigation except for 'Network Segmentation'.,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexNAME <> 'Network Segmentation' RETURN m.ucoexNAME,List the names of all mitigations except 'Network Segmentation'.
Path Queries (Variable-length),Show me attack methods that are connected to the 'FIN7' group.,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*1..3]->(t:UcoexMITREATTACK) RETURN DISTINCT t.ucoexNAME,What attack techniques are closely related (within 3 steps) to the 'FIN7' group?
Path Queries (Variable-length),Are the 'SolarWinds' attack and 'Mimikatz' tool related?,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1,Is the 'SolarWinds' campaign connected in any way to the 'Mimikatz' software?
Path Queries (Variable-length),How is the 'APT28' group linked to 'PowerShell'?,MATCH p = shortestPath((:UcoexGROUPS {ucoexNAME: 'APT28'})-[*]-(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})) RETURN p,What is the most direct connection between the 'APT28' group and the 'PowerShell' technique?
Path Queries (Variable-length),What tools does the 'Lazarus Group' use?,MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[*]->(s:UcoexSOFTWARE) RETURN DISTINCT s.ucoexNAME,What software is linked to the 'Lazarus Group'?
Path Queries (Variable-length),How does a cyber attack lead to the 'CVE-2017-0144' vulnerability?,MATCH p = (:UcoexCAMPAIGNS)-[*]->(:UcoCVE {label: 'CVE-2017-0144'}) RETURN p,Can you show me a connection between an attack campaign and the vulnerability 'CVE-2017-0144'?
Path Queries (Variable-length),What defenses are connected to the 'FIN7' group's methods?,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*2]->(m:UcoexMITIGATIONS) RETURN DISTINCT m.ucoexNAME,What mitigations are indirectly (2 steps) related to the 'FIN7' group?
Path Queries (Variable-length),Show me everything related to the 'CVE-2021-44228' vulnerability.,"MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[*1..2]-(n) RETURN DISTINCT labels(n), n.uri, n.ucoexNAME, n.label",What is closely related (within 2 steps) to the vulnerability 'CVE-2021-44228'?
Path Queries (Variable-length),Show me some hacker groups and defenses that are not directly linked.,"MATCH p = (g:UcoexGROUPS)-[*3..]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, m.ucoexNAME LIMIT 10",Can you show me examples of groups and mitigations that are *not* closely related (3 or more steps apart)?
Path Queries (Variable-length),Can you connect an attack campaign to a specific flaw?,MATCH p = (:UcoexCAMPAIGNS)-[*]-(:UcoVulnerability) RETURN p LIMIT 1,Show me an example of how an attack campaign is linked to a vulnerability.
Path Queries (Variable-length),Show me a map of everything associated with the 'WannaCry' attack.,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[*1..4]->(n) RETURN p,"What are all the things connected to the 'WannaCry' campaign, up to 4 steps away?"
Graph Pattern Matching,What hackers use 'PowerShell' and 'Phishing' together?,MATCH (t1:UcoexMITREATTACK {ucoexNAME: 'PowerShell'})<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN g.ucoexNAME,Which threat groups use both 'PowerShell' and 'Phishing'?
Graph Pattern Matching,Which attacks use the same tools as 'APT28'?,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME, s.ucoexNAME",What campaigns use the same software as the 'APT28' group?
Graph Pattern Matching,Show me how a hacker group's attack method is stopped by a defense.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, t.ucoexNAME, m.ucoexNAME LIMIT 10","Show me 10 examples of a group, an attack technique they use, and the mitigation that stops it."
Graph Pattern Matching,What tools are used by more than one hacker group?,"MATCH (g1:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS) WHERE g1 <> g2 RETURN s.ucoexNAME, g1.ucoexNAME, g2.ucoexNAME",What software is shared by multiple threat groups?
Graph Pattern Matching,Show me attacks that exploit high-level weaknesses.,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE {ucoabstraction: 'High'}) RETURN c.ucoexNAME,Which campaigns use techniques related to 'High' level weakness categories?
Graph Pattern Matching,Find two different cyber attacks that use the same method.,"MATCH (c1:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c2:UcoexCAMPAIGNS) WHERE id(c1) < id(c2) RETURN c1.ucoexNAME, t.ucoexNAME, c2.ucoexNAME LIMIT 10",Show me 10 examples of two different campaigns that use the same attack technique.
Graph Pattern Matching,Which hacker groups go after 'CRITICAL' flaws?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME,Which threat groups are associated with 'CRITICAL' severity vulnerabilities?
Graph Pattern Matching,Find flaws in specific products that have known examples.,"MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(:UcoexCPE), (cve)<-[:UCOHASCVE_ID]-(:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(:UcoexObservedExample) RETURN DISTINCT cve.label",List vulnerabilities (CVEs) that affect specific products and are tied to a weakness with real-world examples.
Graph Pattern Matching,Are there attacks that use the same methods as a known software tool?,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN c.ucoexNAME, t.ucoexNAME, s.ucoexNAME LIMIT 10",Show me 10 examples where a campaign and a software tool use the *same* attack technique.
Graph Pattern Matching,"What tools, besides 'PowerShell', do hackers use?","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'PowerShell' RETURN g.ucoexNAME, s.ucoexNAME",What software (other than 'PowerShell') do threat groups use?
Comparative and Ranking,Show me flaws that are easy to break into but don't cause much damage.,"MATCH (c:UcoCVE) WHERE toInteger(c.ucoexploitabilityScore) > toInteger(c.ucoimpactScore) RETURN c.label, c.ucoexploitabilityScore, c.ucoimpactScore",Which vulnerabilities are easier to exploit than they are damaging?
Comparative and Ranking,What are the 5 most common methods hackers use?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(g) AS groupCount ORDER BY groupCount DESC LIMIT 5",What are the top 5 most popular attack techniques used by threat groups?
Comparative and Ranking,What are the 3 most popular tools used in cyber attacks?,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME, count(c) AS campaignUsage ORDER BY campaignUsage DESC LIMIT 3",What are the top 3 most common software tools used in attack campaigns?
Comparative and Ranking,Which hacker groups use the largest variety of tools?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN g.ucoexNAME, count(DISTINCT s) AS softwareCount ORDER BY softwareCount DESC",Rank threat groups by how many different software tools they use (from most to least).
Comparative and Ranking,Find the vulnerability that is the most difficult to take advantage of.,MATCH (c:UcoCVE) RETURN c.label ORDER BY toInteger(c.ucoexploitabilityScore) ASC LIMIT 1,Which vulnerability (CVE) is the hardest to exploit?
Comparative and Ranking,What are the 10 most common weaknesses that attack patterns exploit?,"MATCH (cwe:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(capec:UcoexCAPEC) RETURN cwe.ucocweName, count(capec) AS capecCount ORDER BY capecCount DESC LIMIT 10",What are the top 10 weaknesses (CWEs) that are related to the most attack patterns (CAPECs)?
Comparative and Ranking,Show me attacks that involve several different methods (more than 3).,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) WITH c, count(t) AS techCount WHERE techCount > 3 RETURN c.ucoexNAME, techCount",Which attack campaigns use more than 3 different techniques?
Comparative and Ranking,What is the best all-around defense that stops the most attack methods?,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount ORDER BY techniqueCount DESC LIMIT 1",Which mitigation is the most effective (stops the most attack techniques)?
Comparative and Ranking,What are the most popular software tools used by hacker groups?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME, count(g) AS groupUsage ORDER BY groupUsage DESC",Rank all software by how many groups use it (from most popular to least).
Comparative and Ranking,Which hacker group is linked to the most 'CRITICAL' flaws?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME, count(c) as criticalCVEs ORDER BY criticalCVEs DESC LIMIT 1",Which threat group is associated with the highest number of 'CRITICAL' vulnerabilities?
Existence and Set Operations Queries,Show me all the hacker groups you have information about.,MATCH (g:UcoexGROUPS) WHERE g.ucoexDESCRIPTION IS NOT NULL RETURN g.ucoexNAME,List all threat groups that have a description available.
Existence and Set Operations Queries,Which security flaws are tied to actual software or hardware?,MATCH (c:UcoCVE) WHERE EXISTS((c)-[:UCOEXHASCPE]->()) RETURN c.label,Which vulnerabilities (CVEs) are linked to specific products?
Existence and Set Operations Queries,Are there any software tools listed that *aren't* used in attacks?,MATCH (s:UcoexSOFTWARE) WHERE NOT EXISTS(()-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s)) RETURN s.ucoexNAME,What software in the database is *not* used by any attack campaign?
Existence and Set Operations Queries,"Can you explain 'Phishing', 'Spearphishing Attachment', and 'Drive-by Compromise'?","MATCH (t:UcoexMITREATTACK) WHERE t.ucoexNAME IN ['Phishing', 'Spearphishing Attachment', 'Drive-by Compromise'] RETURN t.ucoexNAME","Tell me about the techniques: 'Phishing', 'Spearphishing Attachment', and 'Drive-by Compromise'."
Existence and Set Operations Queries,Do you have any information on a group called 'APT28'?,OPTIONAL MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'}) RETURN g IS NOT NULL AS groupExists,Is the threat group 'APT28' in the database?
Existence and Set Operations Queries,Show me hacker groups that don't use 'Mimikatz'.,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'Mimikatz' RETURN DISTINCT g.ucoexNAME,Which groups use software *other than* 'Mimikatz'?
Existence and Set Operations Queries,Are there any attack methods that don't follow a known pattern?,MATCH (t:UcoexMITREATTACK) WHERE NOT EXISTS((t)<-[:UCOEXHASTAXONOMYMAPPING]-()) RETURN t.ucoexNAME,Which attack techniques are not linked to any attack patterns (CAPECs)?
Existence and Set Operations Queries,What other attacks are similar to what 'APT28' does?,MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WITH collect(t) as apt28Techniques MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t2) WHERE t2 in apt28Techniques RETURN DISTINCT c.ucoexNAME,Which campaigns use the same attack techniques as the 'APT28' group?
