question,category,gold_cypher,generated_cypher,kg_valid,pass_at_1,output_jaccard,jaro_winkler,token_jaccard,rouge_l,token_f1,bleu_4,jarou_factor,gold_error,gen_error
Which threat actor is linked to the highest number of 'CRITICAL' CVEs?,Comparative and Ranking,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME, count(c) as criticalCVEs ORDER BY criticalCVEs DESC LIMIT 1","MATCH (g:UcoexGROUPS)-[:UCOEXHASCVE]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'})-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN g.ucoexNAME, count(c) as criticalCVEs ORDER BY criticalCVEs DESC LIMIT 1",0,1,1.0,0.8164979909807496,0.6333333333333333,0.7272727272727272,0.7755102040816326,0.5149719730562272,0.7730936407783697,,
Show me all threat actors that have a description.,Existence and Set Operations Queries,MATCH (g:UcoexGROUPS) WHERE g.ucoexDESCRIPTION IS NOT NULL RETURN g.ucoexNAME,MATCH (g:UcoexGROUPS)-[:UCOEXHASDESCRIPTION]->(d) RETURN g.ucoexNAME AS actorName,1,0,0.0,0.8496092517597893,0.35714285714285715,0.5454545454545454,0.5263157894736842,0.0,0.6404598622293396,,
List all CVEs that are tied to a specific product (have a CPE).,Existence and Set Operations Queries,MATCH (c:UcoCVE) WHERE EXISTS((c)-[:UCOEXHASCPE]->()) RETURN c.label,MATCH (c:UcoCVE)-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN DISTINCT c.label,1,0,1.0,0.8581666469404663,0.5454545454545454,0.7,0.7058823529411765,0.0,0.7546829999605476,,
Show me all tools in the database that are not currently associated with any campaign.,Existence and Set Operations Queries,MATCH (s:UcoexSOFTWARE) WHERE NOT EXISTS(()-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s)) RETURN s.ucoexNAME,"Here is the Cypher query that answers your question:


MATCH (c:UcoexCAMPAIGNS)
WHERE NOT EXISTS { (c)-[:UCOEXCAMPAIGNUSESSOFTWARE|UCOEXCAMPAIGNUSESTECHNIQUE]->() }
RETURN DISTINCT c.ucoexNAME AS tool",0,0,0.0,0.6506439563723293,0.2916666666666667,0.4,0.45161290322580644,0.0,0.500752286532712,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query that answers your question:""
 ^}"
"Pull the records for these TTPs: 'Phishing', 'Spearphishing Attachment', and 'Drive-by Compromise'.",Existence and Set Operations Queries,"MATCH (t:UcoexMITREATTACK) WHERE t.ucoexNAME IN ['Phishing', 'Spearphishing Attachment', 'Drive-by Compromise'] RETURN t.ucoexNAME","Here is the Cypher query that pulls the records for the specified TTPs:


MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) 
OR (t:UcoexMITREATTACK {ucoexNAME: 'Spearphishing Attachment'}) 
OR (t:UcoexMITREATTACK {ucoexNAME: 'Drive-by Compromise'}) 
RETURN t.ucoexNAME",0,0,0.0,0.6230440907020833,0.44,0.52,0.6111111111111112,0.19710660977672476,0.5847184006043982,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query that pulls the records for the specified TTPs:""
 ^}"
Confirm if we are tracking 'APT28'.,Existence and Set Operations Queries,OPTIONAL MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'}) RETURN g IS NOT NULL AS groupExists,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'}) RETURN g.ucoexNAME,1,0,0.0,0.7053048109249948,0.5,0.6666666666666667,0.6666666666666666,0.4500994164652013,0.6795460480861094,,
List all threat groups that use tools *other than* 'Mimikatz'.,Existence and Set Operations Queries,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'Mimikatz' RETURN DISTINCT g.ucoexNAME,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTOOLS]->(t:UcoexTOOLS) WHERE t.ucoexNAME <> 'Mimikatz' RETURN DISTINCT g.ucoexNAME,1,0,0.0,0.9060401002506266,0.5714285714285714,0.7142857142857143,0.7272727272727273,0.45723134461864345,0.7825328472696894,,
Show me all TTPs that are missing a CAPEC mapping.,Existence and Set Operations Queries,MATCH (t:UcoexMITREATTACK) WHERE NOT EXISTS((t)<-[:UCOEXHASTAXONOMYMAPPING]-()) RETURN t.ucoexNAME,MATCH (t:UcoexMITREATTACK)-[:UCOEXHASTAXONOMYMAPPING]->(ca:UcoexCAPEC) WHERE ca IS NULL RETURN t.ucoexNAME AS technique,1,0,0.0,0.8604259681400651,0.4666666666666667,0.5384615384615385,0.6363636363636364,0.0,0.67841704765508,,
Which campaigns share TTPs with APT28?,Existence and Set Operations Queries,MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WITH collect(t) as apt28Techniques MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t2) WHERE t2 in apt28Techniques RETURN DISTINCT c.ucoexNAME,"MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) 
WHERE t.ucoexNAME IN ( 
    MATCH (c:UcoexCAMPAIGNS)-[r:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) 
    RETURN t.ucoexNAME 
) 
RETURN c.ucoexNAME",0,0,0.0,0.8831648692534866,0.6190476190476191,0.6,0.7647058823529413,0.28630708814903527,0.7492902505354758,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '>': expected ""+"" or ""-"" (line 3, column 61 (offset: 177))
""    MATCH (c:UcoexCAMPAIGNS)-[r:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)""
                                                             ^}"
Are there any campaigns where both Cobalt Strike and Mimikatz were used?,Existence and Set Operations Queries,MATCH (s1:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s2:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN count(c) > 0 THEN true ELSE false END AS usesBoth,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: ''})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'Cobalt Strike'})-[*1..]-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'Mimikatz'}) WHERE NOT p IS NULL RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1,0,0,0.0,0.8334667010748211,0.47058823529411764,0.5245901639344261,0.6399999999999999,0.2618929316459148,0.6660189550030824,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '[': expected
  ""(""
  ""*""
  ""+""
  "">""
  ""{""
  <ARROW_RIGHT_HEAD> (line 1, column 132 (offset: 131))
""MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: ''})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'Cobalt Strike'})-[*1..]-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'Mimikatz'}) WHERE NOT p IS NULL RETURN CASE WHEN length(p) > 0 THEN true ELSE false END AS connectionExists LIMIT 1""
                                                                                                                                    ^}"
Show me all mitigations that have a description.,Existence and Set Operations Queries,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexDESCRIPTION IS NOT NULL RETURN m.ucoexNAME,MATCH (m:UcoexMITIGATIONS)-[:has]->(desc:Property) WHERE desc IS NOT NULL AND exists({ m }) RETURN m.ucoexNAME,0,0,0.0,0.8467966247844296,0.6,0.6896551724137931,0.75,0.0,0.7621505990660742,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '{': expected ""+"", ""-"", ""ALL"" or ""DISTINCT"" (line 1, column 86 (offset: 85))
""MATCH (m:UcoexMITIGATIONS)-[:has]->(desc:Property) WHERE desc IS NOT NULL AND exists({ m }) RETURN m.ucoexNAME""
                                                                                      ^}"
Pull the record for CVE-2009-2228.,Node Lookup Queries,MATCH (c:UcoCVE {label: 'CVE-2009-2228'}) RETURN c,MATCH (c:UcoCVE {label: 'CVE-2009-2228'}) RETURN c,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Show me all CVEs with an impact score below 3.9.,Node Lookup Queries,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 3.9 RETURN c,"Here is the Cypher query that answers your question:


MATCH (c:UcoCVE)
WHERE toFloat(c.ucoimpactScore) < 3.9
RETURN c.label, c.ucoimpactScore",0,0,0.0,0.6558238318801699,0.47368421052631576,0.6470588235294118,0.6428571428571429,0.43937095446369245,0.6485799327555749,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query that answers your question:""
 ^}"
Show me all CVEs with an impact score above 6.4.,Node Lookup Queries,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 6.4 RETURN c,"Here is the Cypher query:

MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 6.4 RETURN c.label, c.ucoimpactScore",0,0,0.0,0.6947925368978001,0.6,0.7333333333333334,0.7499999999999999,0.5401725898595141,0.7260419567437112,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query:""
 ^}"
List 'Received' CVEs that *do* allow full privilege escalation.,Node Lookup Queries,"MATCH (c:UcoCVE {ucovulnStatus: 'Received', ucoobtainAllPrivilege: 'true'}) RETURN c","Here is the Cypher query:

MATCH (v:UcoVulnerability {baseSeverity: ""High""} )-[:has]->(cve:UcoCVE) WHERE v.exploitabilityScore = ""Received"" AND v.baseSeverity = ""High"" RETURN cve.label, v.baseSeverity",0,0,0.0,0.5881552981552982,0.17391304347826086,0.2285714285714286,0.2962962962962963,0.0,0.37100767434100773,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query:""
 ^}"
Find CVEs 'Undergoing Analysis' that do not grant full privileges.,Node Lookup Queries,"MATCH (c:UcoCVE {ucovulnStatus: 'Undergoing Analysis', ucoobtainAllPrivilege: 'false'}) RETURN c","Here is the Cypher query:

MATCH (v:UcoCVE {ucobaseSeverity: ""High""})-[:UCOHASCVE_ID]->(vulnerability:UcoVulnerability)<-[:UCOEXPLOITSCORE]-(score)
WHERE score.toFloat() > 5 AND vulnerability.ucouserInteractionRequired = 'false'
RETURN v.label AS cveId",0,0,0.0,0.58208255524432,0.13333333333333333,0.21052631578947364,0.23529411764705882,0.0,0.3426343295602841,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query:""
 ^}"
Show 'HIGH' severity CVEs that are remotely exploitable without user interaction.,Node Lookup Queries,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucouserInteractionRequired: 'false'}) RETURN c","Here is the valid, executable Cypher query:

MATCH (c:UcoCVE {baseSeverity: 'High'})-[:UCOHASCVE_ID]->(v:UcoVulnerability) 
WHERE v.ucouserInteractionRequired = 'false' AND toInteger(v.ucoexploitabilityScore) > 0
RETURN DISTINCT c.label",0,0,0.0,0.6126144294389558,0.2692307692307692,0.43243243243243246,0.42424242424242425,0.0,0.48976309537127083,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the valid, executable Cypher query:""
 ^}"
"Pull all vulnerability records published on Jan 15, 2020.",Node Lookup Queries,MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime STARTS WITH '2020-01-15' RETURN v,"Here is the Cypher query that answers your question:

MATCH (v:UcoVulnerability)-[:has]->(pd:datetime {date().year = 2020, date().month = 1, date().day = 15})
RETURN v;",0,0,0.0,0.5473353113802552,0.21428571428571427,0.3589743589743589,0.3529411764705882,0.0,0.4197502822750674,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query that answers your question:""
 ^}"
"What vulnerabilities have been modified since June 1, 2021?",Node Lookup Queries,MATCH (v:UcoVulnerability) WHERE v.ucolastModifiedDateTime > '2021-06-01T00:00:00' RETURN v,"Here is the valid and executable Cypher query:


MATCH (v:UcoVulnerability)-[:has]->(publishedDate) 
WHERE date(publishedDate).year = 2021 AND date(publishedDate).month >= 6
RETURN v.label AS vulnerability
LIMIT 100;",0,0,0.0,0.5564309730976397,0.20689655172413793,0.32558139534883723,0.34285714285714286,0.0,0.40828983710120664,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the valid and executable Cypher query:""
 ^}"
Search vulnerability summaries for 'remote code execution'.,Node Lookup Queries,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'remote code execution' RETURN v,"MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS ""remote code execution"" RETURN count(v) AS remote_code_execution_count",1,0,0.0,0.9314022988505747,0.7692307692307693,0.888888888888889,0.8695652173913044,0.7166258375282707,0.8966188017102561,,
List all 'CRITICAL' severity vulnerability records.,Node Lookup Queries,MATCH (v:UcoVulnerability {ucobaseSeverity: 'CRITICAL'}) RETURN v,"MATCH (v:UcoVulnerability) WHERE v.baseSeverity = ""CRITICAL"" RETURN DISTINCT v.ucosummary LIMIT 1000;",0,1,1.0,0.8338699376010477,0.4166666666666667,0.6,0.5882352941176471,0.0,0.6740350772395649,,
List all 'HIGH' severity vulnerability records.,Node Lookup Queries,MATCH (v:UcoVulnerability {ucobaseSeverity: 'HIGH'}) RETURN v,MATCH (v:UcoVulnerability {ucobaseSeverity: 'High'}) RETURN v;,0,1,1.0,0.9772607086197779,1.0,1.0,1.0,1.0,0.9924202362065926,,
Show all vulnerabilities with a status of 'Analyzed'.,Node Lookup Queries,MATCH (v:UcoVulnerability {ucovulnStatus: 'Analyzed'}) RETURN v,"Here is the Cypher query that answers the question:

MATCH (v:UcoVulnerability {ucoPublishedStatus: 'Analyzed'}) RETURN v.label, v.ucosummary",0,0,0.0,0.6520337868999503,0.29411764705882354,0.46153846153846156,0.45454545454545453,0.0,0.5227059009946221,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query that answers the question:""
 ^}"
Show vulnerabilities that *don't* grant full privileges.,Node Lookup Queries,MATCH (v:UcoVulnerability {ucoobtainAllPrivilege: 'false'}) RETURN v,"MATCH (v:UcoVulnerability) WHERE NOT EXISTS { (v)-[:UCOHASbaseSeverity]->(:UcoVulnerability { baseSeverity: ""High"" }) } RETURN v.label, v.ucosummary LIMIT 100",0,0,0.0,0.8027694377056662,0.25,0.4,0.4,0.0,0.5342564792352221,,
Search vulnerability summaries for 'IoT device'.,Node Lookup Queries,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'IoT device' RETURN v,"Here is the translated Cypher query:


MATCH (v:UcoVulnerability)-[:UCOHASVULNERABILITY]->(et:UcoExploitTarget)
WHERE v.ucosummary CONTAINS 'IoT device'
RETURN COUNT(DISTINCT et) AS count_iot_devices",0,0,0.0,0.6301310646801258,0.4090909090909091,0.5714285714285715,0.5806451612903226,0.29456425448249246,0.5940682657996733,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the translated Cypher query:""
 ^}"
"List 'Base' level, 'Composite' structure CWEs with a 'Stable' status.",Node Lookup Queries,"MATCH (c:UcoCWE {ucoabstraction: 'Base', ucostructure: 'Composite', ucostatus: 'Stable'}) RETURN c","MATCH (w:UcoCWE)-[:UCOHASPROTOTYPE]->(p:PrototypeWeakness) 
WHERE p.cweId CONTAINS ""CWE-79"" AND w.base = 'Base' AND w.composite = 'Composite' AND w.status = 'Stable' 
RETURN DISTINCT w.ucodescription AS cweDescription",1,1,1.0,0.7547753151439787,0.24,0.29268292682926833,0.3870967741935483,0.0,0.47818500538893177,,
Find weakness types (CWEs) related to 'denial of service'.,Node Lookup Queries,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'denial of service' RETURN c,"MATCH (:UcoVulnerability {baseSeverity: ""High""})-[:UCOHASVULNERABILITY]->(:UcoExploitTarget)-[:UCOHASWEAKNESS]->(w:UcoCWE) WHERE w.cweId = ""CWE-79"" RETURN w.ucocweID",0,0,0.0,0.7606349206349208,0.19047619047619047,0.27586206896551724,0.32,0.0,0.452165663200146,,
"Show 'LOW' severity, 'Modified' CVEs that don't need user interaction.",Node Lookup Queries,"MATCH (c:UcoCVE {ucobaseSeverity: 'LOW', ucovulnStatus: 'Modified', ucouserInteractionRequired: 'false'}) RETURN c","Here is the valid Cypher query to answer the question:


MATCH (cve:UcoCVE {baseSeverity: 'Low', ucouserInteractionRequired: 'false'})-[:UCOEXHASCVE_ID]->(vuln:UcoVulnerability) WHERE vuln.cveId = ""CVE-"" + toLower(cve.label) RETURN cve.label AS modifiedCve, vuln.impactScore",0,0,0.0,0.6138430016647458,0.1935483870967742,0.26666666666666666,0.32432432432432434,0.0,0.4016113308852456,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the valid Cypher query to answer the question:""
 ^}"
List all 'Pillar' level CWEs.,Node Lookup Queries,MATCH (c:UcoCWE {ucoabstraction: 'Pillar'}) RETURN c,"Here is the Cypher query to answer the question:


MATCH (c:UcoCWE {ucoabstraction: 'Pillar'}) RETURN c.ucodescription AS cweDescription",0,0,0.0,0.6370663650075414,0.35294117647058826,0.5384615384615384,0.5217391304347826,0.30826276460621843,0.5657556779679541,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query to answer the question:""
 ^}"
Find all CWEs marked as 'Incomplete'.,Node Lookup Queries,MATCH (c:UcoCWE {ucostatus: 'Incomplete'}) RETURN c,"Here is the valid and executable Cypher query:


MATCH (c:UcoCWE) WHERE c.baseSeverity = 'Incomplete' RETURN c.ucodescription, c.cweId",0,0,0.0,0.6067395863818165,0.2777777777777778,0.4444444444444444,0.4347826086956522,0.0,0.495322213173971,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the valid and executable Cypher query:""
 ^}"
